,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Location ID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Service ID,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Status ID,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Gender_label,Under 30_label,Senior Citizen_label,Married_label,Dependents_label,Referred a Friend_label,Offer_label,Phone Service_label,Multiple Lines_label,Internet Service_label,Internet Type_label,Online Security_label,Online Backup_label,Device Protection Plan_label,Premium Tech Support_label,Streaming TV_label,Streaming Movies_label,Streaming Music_label,Unlimited Data_label,Contract_label,Paperless Billing_label,Payment Method_label,Customer Status_label,Churn Label_label,Churn Category_label,Churn Reason_label
14,3606-TWKGI,1,Male,68,No,Yes,No,No,0,YKMAHQ1326,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,YOBKZFGVQ5899,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,BEGOJN9758,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices,1,0,1,0,0,0,4,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,2
15,4385-GZQXV,1,Female,68,No,Yes,No,No,0,SHPSYY8543,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,VHJDHJCGG5893,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,JLJPDE1341,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices,0,0,1,0,0,0,4,1,0,1,2,0,0,0,1,1,1,1,1,0,1,0,0,1,1,2
16,3488-PGMQJ,1,Male,66,No,Yes,No,No,0,LQYOZM6288,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,HXMLQEOHF5921,Q3,No,0,8,None,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,OHPSLR4475,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support,1,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,1,2,15
17,7534-BFESC,1,Male,69,No,Yes,No,No,0,GUJJRB3775,United States,California,San Diego,92122,"32.85723, -117.209754",32.85723,-117.209774,WWYEWXVSH6917,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,GQOQWC2393,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer,1,0,1,0,0,0,3,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
18,8098-LLAZX,1,Female,74,No,Yes,No,No,0,SPEIWA8191,United States,California,San Diego,92122,"32.85723, -117.209756",32.85723,-117.209774,OSQCMMHHH1332,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,OFKDMH9951,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer,0,0,1,0,0,0,5,1,1,1,2,0,0,0,0,1,1,0,1,0,1,0,0,1,1,3
19,0265-EDXBD,1,Male,76,No,Yes,Yes,No,0,TMYNPD3367,United States,California,San Diego,92122,"32.85723, -117.209757",32.85723,-117.209774,FZQAVWHSH9565,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,GHCFVK8885,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person,1,0,1,1,0,1,3,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
20,2840-XANRC,1,Male,77,No,Yes,Yes,No,0,FVSDWS6986,United States,California,San Diego,92122,"32.85723, -117.209760",32.85723,-117.209774,PLOCHMGQJ6697,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.45,DSIMCQ4621,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer,1,0,1,1,0,1,3,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,3
21,5020-ZSTTY,1,Female,70,No,Yes,No,No,0,XGSMIZ5526,United States,California,San Diego,92122,"32.85723, -117.209761",32.85723,-117.209774,XNJUYZUTW5958,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,DHXVBL4276,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer,0,0,1,0,0,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,3
22,5804-LEPIM,1,Female,74,No,Yes,No,No,0,TFIMDC4432,United States,California,San Diego,92122,"32.85723, -117.209762",32.85723,-117.209774,ATPTIBSWE9432,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,ZIEQWD5744,3,Churned,Yes,1,73,2671,Other,Don't know,0,0,1,0,0,0,5,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,3,7
23,0623-IIHUG,1,Female,77,No,Yes,No,No,0,IWJVDJ8317,United States,California,San Diego,92122,"32.85723, -117.209770",32.85723,-117.209774,WIKKPUBDD5531,Q3,No,0,21,None,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,GQQMMS7744,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,3
24,9057-MSWCO,1,Male,71,No,Yes,Yes,No,0,KSVXVQ7798,United States,California,San Diego,92122,"32.85723, -117.209772",32.85723,-117.209774,TKRBOHAOA4185,Q3,No,0,27,None,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,GUGTBO6929,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3
25,4895-TMWIR,1,Male,79,No,Yes,Yes,No,0,RZCEVV7274,United States,California,San Diego,92122,"32.85723, -117.209778",32.85723,-117.209774,OGTGVNIAI7862,Q3,Yes,1,11,None,Yes,29.54,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,OEYWPL2828,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer,1,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3
26,0533-BNWKF,1,Female,66,No,Yes,Yes,No,0,FZOAQK4769,United States,California,San Diego,92122,"32.85723, -117.209779",32.85723,-117.209774,CEAETMXKC1258,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.8,NMPICW5172,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer,0,0,1,1,0,1,2,1,1,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,1,3
27,0334-GDDSO,1,Male,77,No,Yes,No,No,0,RAYIIP3272,United States,California,San Diego,92122,"32.85723, -117.209784",32.85723,-117.209774,HXAWDMKNC7727,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,LCTGJR7639,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer,1,0,1,0,0,0,5,1,1,1,2,0,1,0,0,0,0,0,1,0,1,0,0,1,1,3
28,5564-NEMQO,1,Female,80,No,Yes,No,No,0,LVATLE5584,United States,California,Thermal,92274,"33.53604, -116.119222",33.53604,-116.119222,RHOKWKGPI1159,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,EFSJFW2561,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability,0,0,1,0,0,0,5,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,2,14
29,6235-VDHOM,1,Female,77,No,Yes,No,No,0,XUECCC9855,United States,California,Riverside,92509,"34.004379, -117.447864",34.004379,-117.447864,HWTSHHROX7538,Q3,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,UNLRRA7673,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services,0,0,1,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2,11
30,5609-CEBID,1,Female,77,No,Yes,No,No,0,KEOVXW8355,United States,California,Hemet,92544,"33.644585, -116.871544",33.644585,-116.871544,PAOHKXQGG8796,Q3,No,0,20,None,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,WQCCWE6768,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices,0,0,1,0,0,0,0,1,1,1,2,0,1,1,0,0,1,0,0,0,1,0,0,1,1,2
31,5956-VKDTT,1,Female,72,No,Yes,Yes,No,0,KHFBXS6415,United States,California,Moreno Valley,92557,"33.970661, -117.255039",33.970661,-117.255039,IAGYVDOMQ4746,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,QTRLCS8221,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction,0,0,1,1,0,1,5,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,2,18
32,0257-ZESQC,1,Female,80,No,Yes,Yes,No,0,LQJXOB2518,United States,California,Perris,92571,"33.828289, -117.201666",33.828289,-117.201666,BKPCFHKQJ2592,Q3,Yes,2,27,None,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,LGNAAI6835,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
33,2865-TCHJW,1,Female,74,No,Yes,No,No,0,UUDUTT2316,United States,California,Anaheim,92807,"33.848733, -117.788357",33.848733,-117.788357,PYCXBVFEW4691,Q3,No,0,4,None,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,QVCKEA1534,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,2
34,5192-EBGOV,1,Female,68,No,Yes,No,No,0,MJCOHU2835,United States,California,Brea,92823,"33.924143, -117.79387",33.924143,-117.79387,URLOXFYPV4252,Q3,No,0,1,None,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,RINVCK3782,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2
35,3419-SNJJD,1,Female,78,No,Yes,Yes,No,0,MNSWNB3438,United States,California,Yorba Linda,92887,"33.884073, -117.732197",33.884073,-117.732197,LTNYKEMKS4853,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,WZSVYG6552,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person,0,0,1,1,0,1,2,1,1,1,2,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1
36,4554-YGZIH,1,Male,75,No,Yes,Yes,No,0,VXMGHP1745,United States,California,Summerland,93067,"34.420998, -119.60137",34.420998,-119.60137,ILBWOZEYA6786,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.08,5670.33,KZZHRZ2348,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer,1,0,1,1,0,1,2,1,1,1,2,0,1,0,0,0,1,0,1,0,0,1,0,1,1,3
37,5099-BAILX,1,Male,77,No,Yes,Yes,No,0,QVQYJH5147,United States,California,Santa Barbara,93101,"34.419203, -119.710008",34.419203,-119.710008,JTARJQLPF4989,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.26,CVUUUK5972,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer,1,0,1,1,0,1,2,1,1,1,2,0,1,1,1,1,1,0,1,0,1,0,0,1,1,3
38,4913-EHYUI,1,Male,80,No,Yes,Yes,No,0,FPZGUA9175,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626,-119.498771,CGZXKNJTP7197,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.45,IYFTSS3523,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds,1,0,1,1,0,0,2,1,1,1,2,1,0,1,0,1,1,0,1,1,1,0,0,1,1,4
39,1626-ERCMM,1,Male,75,No,Yes,Yes,No,0,GSXUMR4988,United States,California,Camp Nelson,93208,"36.057458, -118.591951",36.057458,-118.591951,RHEBGFFVR4517,Q3,Yes,7,20,None,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,YHCEYV9468,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices,1,0,1,1,0,1,0,1,1,1,2,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2
40,5644-PDMZC,1,Female,69,No,Yes,No,No,0,WMFYXY5456,United States,California,Delano,93215,"35.772244, -119.209689",35.772244,-119.209689,NOEPUJTIG3795,Q3,No,0,2,None,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,BALQIW2979,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person,0,0,1,0,0,0,0,1,1,1,2,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1
41,4160-AMJTL,1,Female,74,No,Yes,No,No,0,MVZYVA7772,United States,California,Fellows,93224,"35.215731, -119.57013",35.215731,-119.57013,NGGLWVAEL7229,Q3,No,0,8,None,Yes,27.95,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,GOFNCE2167,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
42,0823-HSCDJ,1,Male,76,No,Yes,No,No,0,FNJTWP6581,United States,California,Temecula,92592,"33.507255, -117.029473",33.507255,-117.029473,SVCSCKAFM9875,Q3,No,0,52,None,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,YHDSJE8591,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,3
43,0067-DKWBL,1,Male,69,No,Yes,No,No,0,WVFRVJ6162,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,PVFXVSVGO9463,Q3,No,0,2,None,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,PFDTBW9847,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,3
44,5244-IRFIH,1,Male,72,No,Yes,Yes,No,0,NZIHDA2973,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,LWGDPAKFW2516,Q3,Yes,1,33,None,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,RZBCFN3616,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support,1,0,1,1,0,1,0,1,1,1,2,0,0,0,0,1,1,0,1,0,1,0,0,1,3,15
