Customer ID,Dependents,Under 30,Monthly Charge,Total Revenue,Tenure in Months,Internet Service,Device Protection Plan,Unlimited Data,Streaming Movies,Contract Date,Contract Period,Churn Label,Churn Score
2528-HFYZX,0,0,76.45,1251.25,17,1,0,1,0,2022-05-18,500,1,92
4140-MUHUG,0,0,86.85,276.09,3,1,1,1,0,2023-07-24,68,1,70
1587-FKLZB,0,0,99.5,8726.91,66,1,1,1,1,2018-04-02,2007,1,96
5440-FLBQG,0,0,108.4,10690.92,69,1,1,1,1,2018-01-21,2078,1,73
2774-LVQUS,0,0,83.05,2030.25,15,1,1,0,0,2022-07-14,443,1,70
4612-THJBS,0,0,104.75,7447.13,56,1,1,1,1,2019-02-21,1682,1,93
4094-NSEDU,0,0,94.25,2417.9,21,1,0,1,1,2022-01-19,619,1,73
1846-XWOQN,0,0,70.15,118.12,1,1,0,1,0,2023-08-27,34,1,71
3757-NJYBX,0,0,106.35,3774.19,32,1,1,1,1,2021-02-05,967,1,65
9898-KZQDZ,0,0,94.55,5620.45,40,1,0,1,1,2020-06-04,1213,1,95
8263-JQAIK,0,0,24.45,47.5,2,1,0,1,0,2023-08-07,54,1,77
2205-YMZZJ,0,0,84.8,823.52,7,1,0,0,0,2023-03-17,197,1,70
1254-IZEYF,0,0,99.95,4406.81,31,1,0,1,1,2021-03-21,923,1,96
9221-OTIVJ,0,0,104.85,1950.84,14,1,1,1,1,2022-08-04,422,1,86
5908-QMGOE,0,0,74.2,1443.54,15,1,0,1,0,2022-07-15,442,1,80
0397-GZBBC,0,0,93.85,6202.64,59,1,0,1,1,2018-11-28,1767,1,85
7641-EUYET,0,0,100.7,6753.62,46,1,1,1,0,2019-12-27,1373,1,72
8922-LIEGH,0,0,89.7,3073.22,25,1,0,1,1,2021-09-08,752,1,82
8245-UMPYT,0,0,96.4,2047.76,16,1,0,1,1,2022-06-15,472,1,80
5186-SAMNZ,0,0,69.5,190.7,1,1,0,0,0,2023-08-18,43,1,77
5373-SFODM,0,0,85.25,4016.19,36,1,0,1,1,2020-10-18,1077,1,82
0022-TCJCI,0,0,62.7,3271.65,45,1,1,1,1,2020-01-20,1349,1,92
5130-IEKQT,0,0,105.95,3813.75,25,1,1,1,1,2021-09-21,739,1,91
3269-ATYWD,0,0,95.65,5544.32,39,1,0,0,1,2020-07-10,1177,1,65
0354-WYROK,0,0,98.9,4397.75,31,1,1,1,1,2021-03-23,921,1,91
7576-OYWBN,0,0,76.05,322.55,3,1,0,1,0,2023-07-11,81,1,67
5539-TMZLF,0,0,69.75,103.59,1,1,0,1,0,2023-08-14,47,1,69
3336-JORSO,0,0,110.45,4294.37,33,1,1,0,1,2021-01-16,987,1,80
6861-XWTWQ,0,0,99.25,965.89,7,1,1,1,1,2023-03-15,199,1,90
4283-FUTGF,0,0,79.85,1790.57,19,1,1,1,0,2022-03-25,554,1,65
2397-BRLOM,0,0,80.45,799.37,8,1,0,1,0,2023-02-14,228,1,91
8510-AWCXC,0,0,100.8,1401.96,13,1,0,1,1,2022-09-22,373,1,65
8225-BTJAU,0,0,79.25,868.65,10,1,0,1,1,2022-12-22,282,1,87
1724-BQUHA,0,0,89.5,706.3,5,1,0,1,1,2023-05-03,150,1,66
4826-XTSOH,0,0,86.05,124.83,1,1,0,1,0,2023-08-25,36,1,96
2408-WITXK,0,0,34.7,329.8,10,1,0,1,1,2022-12-10,294,1,92
2634-HCZGT,0,0,60.05,4478.16,53,1,0,0,0,2019-05-20,1594,1,77
7503-QQRVF,0,0,74.3,1596.17,16,1,0,1,0,2022-06-05,482,1,81
0709-TVGUR,0,0,74.55,747.69,9,1,0,1,0,2023-01-08,265,1,69
3001-CBHLQ,0,0,104.9,4710.14,32,1,1,1,1,2021-02-10,962,1,79
4102-OQUPX,0,0,74.4,121.76,1,1,0,0,0,2023-08-02,59,1,91
3999-QGRJH,0,0,69.7,679.97,8,1,0,1,0,2023-02-03,239,1,88
2454-RPBRZ,0,0,98.1,1378.7,12,1,1,1,0,2022-10-25,340,1,90
2265-CYWIV,0,0,99.6,397.5,4,1,0,1,1,2023-06-24,98,1,77
4550-VBOFE,0,0,102.95,8307.76,70,1,1,1,1,2017-12-08,2122,1,91
7409-KIUTL,0,0,71.0,99.64,1,1,0,1,0,2023-08-06,55,1,72
1732-VHUBQ,0,0,70.55,4548.91,47,1,0,1,0,2019-11-05,1425,1,82
0679-IDSTG,0,0,69.25,106.55,1,1,0,1,0,2023-08-04,57,1,87
8802-UNOJF,0,0,83.8,1408.73,12,1,1,0,0,2022-10-18,347,1,78
6313-GIDIT,0,0,54.45,2834.39,53,1,1,1,1,2019-05-28,1586,1,65
2845-AFFTX,0,0,99.8,5175.38,41,1,1,1,1,2020-05-13,1235,1,76
2815-CPTUL,0,0,70.25,330.77,5,1,0,1,0,2023-05-01,152,1,89
1891-FZYSA,0,0,89.95,7373.82,69,1,0,0,0,2018-01-03,2096,1,82
9685-WKZGT,0,0,74.95,1225.94,14,1,0,1,0,2022-08-18,408,1,70
6022-UGGSO,0,0,74.4,3295.68,32,1,0,1,0,2021-02-09,963,1,90
3923-CSIHK,0,0,71.05,3674.85,50,1,0,1,0,2019-08-01,1521,1,94
3677-IYRBF,0,0,30.4,78.65,2,1,1,1,0,2023-08-25,36,1,90
8118-LSUEL,0,0,106.4,2888.76,23,1,1,1,1,2021-11-27,672,1,79
5277-ZLOOR,0,0,85.55,198.43,2,1,0,1,0,2023-08-04,57,1,86
4248-HCETZ,0,0,79.65,2552.05,30,1,1,1,0,2021-04-27,886,1,73
9174-FKWZE,0,0,19.45,42.37,1,0,0,0,0,2023-08-13,48,1,78
5307-DZCVC,0,0,85.95,4195.0,32,1,0,1,0,2021-02-27,945,1,74
8679-JOEVF,0,0,59.4,1613.18,16,1,0,1,0,2022-06-21,466,1,87
4803-AXVYP,0,0,99.55,5535.07,38,1,0,1,1,2020-08-23,1133,1,91
5649-ANRML,0,0,95.1,206.17,2,1,1,1,1,2023-08-09,52,1,90
7395-IGJOS,0,0,81.5,1490.7,17,1,0,1,1,2022-05-13,505,1,79
7890-VYYWG,0,0,36.45,93.7,3,1,0,1,0,2023-07-19,73,1,89
9907-SWKKF,0,0,25.05,25.05,1,1,0,1,0,2023-08-03,58,1,65
6397-JNZZG,0,0,55.55,2342.2,43,1,1,1,1,2020-03-11,1298,1,85
7779-LGOVN,0,0,86.65,1321.65,10,1,0,1,1,2022-12-06,298,1,84
9710-ZUSHQ,0,0,106.75,5605.2,37,1,0,1,1,2020-09-27,1098,1,92
3902-FOIGH,0,0,101.35,1800.55,12,1,0,1,1,2022-10-11,354,1,68
3318-OSATS,0,0,95.45,4782.55,35,1,0,0,1,2020-11-01,1063,1,91
2636-ALXXZ,0,0,69.6,115.4,1,1,0,1,0,2023-08-24,37,1,74
9885-CSMWE,0,0,78.45,96.82,1,1,0,1,0,2023-08-04,57,1,67
8058-JMEQO,0,0,84.45,878.69,9,1,0,1,1,2023-01-12,261,1,95
7657-DYEPJ,0,0,70.15,2715.85,38,1,1,1,0,2020-08-26,1130,1,82
8276-MQBYC,0,0,97.8,5907.29,51,1,1,1,1,2019-07-21,1532,1,81
6015-VVHHE,0,0,83.15,655.2,5,1,0,1,0,2023-05-08,145,1,96
2516-VQRRV,0,0,75.45,205.32,2,1,0,1,0,2023-08-24,37,1,65
7580-UGXNC,0,0,54.85,155.68,2,1,0,1,0,2023-08-01,60,1,96
5178-LMXOP,0,0,95.1,99.99,1,1,0,1,1,2023-08-22,39,1,70
7056-IMHCC,0,0,101.9,5970.22,53,1,0,1,1,2019-05-13,1601,1,94
8749-JMNKX,0,0,93.8,5880.09,51,1,1,1,0,2019-07-17,1536,1,83
0917-EZOLA,0,0,104.15,8124.11,72,1,1,1,1,2017-10-25,2166,1,74
8414-MYSHR,0,0,91.4,472.7,5,1,0,1,1,2023-05-25,128,1,78
4988-IQIGL,0,0,75.35,103.84,1,1,0,1,0,2023-08-05,56,1,92
4706-AXVKM,0,0,84.8,951.95,11,1,0,1,1,2022-11-22,312,1,67
5889-JTMUL,0,0,95.05,6516.7,50,1,1,0,0,2019-08-12,1510,1,92
9026-RNUJS,0,0,50.35,330.7,5,1,1,1,0,2023-05-15,138,1,81
1624-NALOJ,0,0,89.8,684.4,5,1,0,1,1,2023-05-03,150,1,88
6210-KBBPI,0,0,99.45,1015.34,9,1,0,1,1,2023-01-22,251,1,93
2260-USTRB,0,0,70.2,135.05,2,1,0,1,0,2023-08-26,35,1,67
8623-TMRBY,0,0,84.2,6368.63,51,1,1,1,0,2019-07-11,1542,1,74
6900-PXRMS,0,0,105.75,2833.01,26,1,1,0,1,2021-08-08,783,1,91
3346-BRMIS,0,0,48.35,810.7,18,1,1,1,1,2022-04-10,538,1,92
2722-JMONI,0,0,49.55,73.79,1,1,0,1,0,2023-08-26,35,1,76
7579-OOPEC,0,0,50.15,128.82,2,1,0,1,0,2023-08-26,35,1,78
1771-OADNZ,0,0,95.9,3821.22,29,1,1,0,1,2021-05-26,857,1,95
0612-RTZZA,0,0,25.25,25.25,1,1,0,1,0,2023-08-15,46,1,87
4433-JCGCG,0,0,101.0,4926.61,46,1,1,1,1,2019-12-05,1395,1,88
9488-HGMJH,0,0,71.15,115.9,1,1,0,0,0,2023-08-05,56,1,85
4818-QIUFN,0,0,79.15,1757.3,20,1,0,1,0,2022-02-17,590,1,95
6961-VCPMC,0,0,80.4,5861.72,46,1,0,0,1,2019-12-02,1398,1,75
4424-TKOPW,0,0,93.85,247.13,2,1,0,1,1,2023-08-08,53,1,70
4201-JMNGR,0,0,55.8,82.02,1,1,1,1,0,2023-08-08,53,1,87
1866-RZZQS,0,0,98.4,5912.21,41,1,1,1,1,2020-05-17,1231,1,91
8631-NBHFZ,0,0,79.4,7286.58,66,1,1,0,0,2018-04-09,2000,1,73
4958-XCBDQ,0,0,101.4,4885.45,35,1,1,1,1,2020-11-12,1052,1,92
8337-UPOAQ,0,0,89.8,1083.1,10,1,1,1,1,2022-12-09,295,1,76
6712-OAWRH,0,0,91.25,3253.74,26,1,0,1,1,2021-08-17,774,1,76
5914-DVBWJ,0,0,85.45,1548.33,18,1,0,1,0,2022-04-16,532,1,91
8644-XLFBW,0,0,71.65,100.11,1,1,0,1,0,2023-08-17,44,1,84
1833-VGRUM,0,0,74.2,123.15,1,1,0,1,0,2023-08-24,37,1,71
8374-XGEJJ,0,0,101.0,5882.15,43,1,0,0,1,2020-03-22,1287,1,87
6946-LMSQS,0,0,89.05,3018.2,25,1,0,1,1,2021-09-17,743,1,90
4039-HEUNW,0,0,96.5,4034.06,36,1,0,1,1,2020-10-04,1091,1,82
0812-WUPTB,0,0,70.85,120.45,1,1,0,1,0,2023-08-26,35,1,69
2403-BCASL,0,0,111.95,6381.54,41,1,1,1,1,2020-05-23,1225,1,93
3871-IKPYH,0,0,69.1,85.29,1,1,0,1,0,2023-08-14,47,1,83
1304-NECVQ,0,0,78.55,237.47,2,1,1,1,0,2023-08-07,54,1,92
5655-JSMZM,0,0,96.2,6303.89,49,1,0,1,1,2019-09-10,1481,1,74
4505-EXZHB,0,0,74.4,507.56,6,1,1,0,0,2023-04-18,165,1,91
8972-HJWNV,0,0,84.55,796.86,7,1,0,1,1,2023-03-25,189,1,80
2860-RANUS,0,0,85.8,2313.3,20,1,0,1,1,2022-02-15,592,1,75
0406-BPDVR,0,0,101.5,7181.56,54,1,0,1,1,2019-04-08,1636,1,68
5276-KQWHG,0,0,69.6,162.29,2,1,0,1,0,2023-08-13,48,1,74
9667-EQRXU,0,0,40.3,1272.95,30,1,1,0,0,2021-04-08,905,1,94
0946-CLJTI,0,0,98.7,5997.04,58,1,1,1,1,2018-12-28,1737,1,91
0324-BRPCJ,0,0,100.2,8302.09,68,1,0,1,1,2018-02-24,2044,1,70
9189-JWSHV,0,0,93.55,2585.17,24,1,0,1,1,2021-10-09,721,1,91
0576-WNXXC,0,0,95.55,3576.43,27,1,1,1,1,2021-07-08,814,1,75
5482-PLVPE,0,0,24.35,41.85,2,1,0,1,0,2023-08-05,56,1,72
4902-OHLSK,0,0,98.65,3471.17,29,1,0,1,1,2021-05-03,880,1,93
0495-ZBNGW,0,0,79.9,397.25,5,1,1,0,0,2023-05-24,129,1,90
2357-COQEK,0,0,103.3,3678.57,28,1,1,1,1,2021-06-02,850,1,78
2034-CGRHZ,0,0,102.95,2574.22,24,1,1,1,1,2021-10-21,709,1,66
9360-AHGNL,0,0,109.55,5206.5,43,1,1,1,1,2020-03-07,1302,1,69
5485-WUYWF,0,0,66.4,105.69,2,1,1,1,0,2023-08-14,47,1,87
2632-UCGVD,0,0,100.05,10162.0,66,1,0,1,1,2018-04-22,1987,1,72
6425-YQLLO,0,0,105.95,8806.75,66,1,1,1,1,2018-04-19,1990,1,86
2091-RFFBA,0,0,73.9,2695.48,31,1,0,1,0,2021-03-04,940,1,75
6899-PPEEA,0,0,96.55,3702.4,37,1,0,1,1,2020-09-16,1109,1,81
4597-NUCQV,0,0,101.25,3135.67,24,1,0,1,1,2021-10-13,717,1,87
3754-DXMRT,0,0,44.15,179.97,2,1,0,1,0,2023-08-13,48,1,86
7130-VTEWQ,0,0,75.75,716.65,8,1,0,1,0,2023-02-05,237,1,92
7903-CMPEY,0,0,80.3,97.81,1,1,0,1,0,2023-08-04,57,1,87
1704-NRWYE,0,0,80.85,1141.71,9,1,0,1,0,2023-01-22,251,1,71
7481-ATQQS,0,0,90.85,6714.97,49,1,1,1,1,2019-09-08,1483,1,70
0023-HGHWL,0,0,25.1,25.1,1,1,0,1,0,2023-08-16,45,1,85
1792-UXAFY,0,0,89.15,2013.19,17,1,1,1,0,2022-05-03,515,1,89
6161-UUUTA,0,0,79.9,269.84,3,1,0,1,0,2023-07-08,84,1,90
6543-XRMYR,0,0,99.7,4355.65,30,1,0,0,1,2021-04-08,905,1,69
2479-BRAMR,0,0,83.75,5152.99,41,1,1,1,0,2020-05-22,1226,1,71
3714-JTVOV,0,0,74.15,3351.2,42,1,0,1,0,2020-04-27,1251,1,94
8580-QVLOC,0,0,92.45,8295.69,72,1,1,1,1,2017-10-25,2166,1,78
2012-NWRPA,0,0,99.55,1145.28,11,1,1,1,1,2022-11-06,328,1,71
8808-ELEHO,0,0,81.25,626.11,8,1,1,1,0,2023-02-06,236,1,72
9058-CBREO,0,0,50.55,73.11,1,1,0,1,0,2023-08-23,38,1,95
8063-GBATB,0,0,85.25,3128.84,27,1,0,1,1,2021-07-20,802,1,80
1069-XAIEM,0,0,85.05,101.42,1,1,0,1,1,2023-08-15,46,1,96
6987-XQSJT,0,0,79.5,6841.83,54,1,0,1,0,2019-04-14,1630,1,78
0722-TROQR,0,0,74.9,426.67,4,1,0,1,0,2023-06-01,121,1,78
6402-ZFPPI,0,0,102.8,3572.7,25,1,0,1,1,2021-09-15,745,1,94
9965-YOKZB,0,0,83.85,880.51,9,1,0,1,1,2023-01-13,260,1,71
0504-HHAPI,0,0,88.3,2925.13,27,1,1,1,1,2021-07-05,817,1,96
3791-LGQCY,0,0,100.65,7711.41,56,1,1,0,1,2019-02-25,1678,1,85
8166-ZZTFS,0,0,80.55,6697.3,66,1,1,1,1,2018-04-26,1983,1,94
