Customer ID,Dependents,Under 30,Monthly Charge,Total Revenue,Tenure in Months,Internet Service,Device Protection Plan,Unlimited Data,Streaming Movies,Contract Date,Contract Period,Churn Label,Churn Score,Forecast Period
5564-NEMQO,0,0,75.3,130.39,1,1,1,0,0,2023-08-11,50,1,67,50.0
6235-VDHOM,0,0,28.45,131.05,5,1,0,1,0,2023-05-20,133,1,89,133.0
5609-CEBID,0,0,94.1,2837.0,20,1,1,0,1,2022-02-26,581,1,87,581.0
5956-VKDTT,0,0,74.35,563.6,5,1,0,1,0,2023-05-12,141,1,82,141.0
0257-ZESQC,0,0,75.2,2118.89,27,1,0,1,0,2021-07-24,798,1,91,798.0
2865-TCHJW,0,0,89.2,539.6,4,1,1,1,0,2023-06-18,104,1,74,104.0
5192-EBGOV,0,0,85.7,131.51,1,1,0,1,0,2023-08-06,55,1,66,55.0
3419-SNJJD,0,0,105.25,7981.75,65,1,1,1,1,2018-05-15,1964,1,91,1964.0
4554-YGZIH,0,0,90.05,5670.33,49,1,0,1,1,2019-09-05,1486,1,96,1486.0
5099-BAILX,0,0,110.75,5312.26,43,1,1,1,1,2020-03-04,1305,1,65,1305.0
4913-EHYUI,0,0,104.55,8527.45,56,1,1,1,1,2019-02-23,1680,1,91,1680.0
1626-ERCMM,0,0,94.55,2005.85,20,1,0,1,1,2022-02-20,587,1,84,587.0
5644-PDMZC,0,0,89.5,256.44,2,1,0,1,1,2023-08-14,47,1,80,47.0
4160-AMJTL,0,0,19.65,387.9,8,0,0,0,0,2023-02-28,214,1,83,214.0
0823-HSCDJ,0,0,49.15,2580.9,52,1,0,0,1,2019-06-26,1557,1,90,1557.0
0067-DKWBL,0,0,49.25,179.08,2,1,0,1,0,2023-08-11,50,1,95,50.0
5244-IRFIH,0,0,94.5,4022.29,33,1,0,1,1,2021-01-26,977,1,91,977.0
2684-EIWEO,0,0,91.7,4134.55,30,1,1,1,0,2021-04-09,904,1,90,904.0
6683-VLCTZ,0,0,98.55,2851.6,20,1,1,0,1,2022-02-02,605,1,92,605.0
0691-IFBQW,0,0,110.0,4983.82,46,1,1,1,1,2019-12-14,1386,1,81,1386.0
3643-AHCFP,0,0,95.6,797.72,7,1,0,1,1,2023-03-19,195,1,83,195.0
9231-ZJYAM,0,0,78.85,440.52,4,1,0,1,0,2023-06-15,107,1,72,107.0
0727-BMPLR,0,0,100.0,7665.2,55,1,1,0,1,2019-03-25,1650,1,83,1650.0
0947-MUGVO,0,0,73.65,1570.9,20,1,0,1,0,2022-02-14,593,1,95,593.0
0781-LKXBR,0,0,100.5,1356.99,9,1,1,1,1,2023-01-03,270,1,70,270.0
1907-UBQFC,0,0,72.85,773.25,10,1,0,0,0,2022-12-01,303,1,91,303.0
6513-EECDB,0,0,73.55,110.47,1,1,0,1,0,2023-08-18,43,1,94,43.0
7074-IEVOJ,0,0,79.4,330.75,3,1,0,1,0,2023-07-23,69,1,91,69.0
4750-ZRXIU,0,0,84.6,386.82,4,1,0,1,1,2023-06-09,113,1,83,113.0
7028-DVOIQ,0,0,99.05,4244.85,35,1,1,0,1,2020-11-03,1061,1,82,1061.0
4208-UFFGW,0,0,44.95,138.39,2,1,0,1,0,2023-08-03,58,1,84,58.0
9889-TMAHG,0,0,100.3,924.91,8,1,0,1,1,2023-02-19,223,1,74,223.0
8919-FYFQZ,0,0,30.35,1359.7,44,1,0,1,0,2020-02-06,1332,1,96,1332.0
6646-QVXLR,0,0,103.75,6824.17,62,1,1,1,1,2018-08-10,1877,1,91,1877.0
9369-XFEHK,0,0,80.6,3751.77,33,1,0,1,0,2021-01-10,993,1,72,993.0
1374-DMZUI,0,0,94.3,622.45,4,1,0,1,1,2023-06-15,107,1,91,107.0
1989-PRJHP,0,0,75.5,2180.15,27,1,0,1,0,2021-07-10,812,1,65,812.0
4822-RVYBB,0,0,100.6,1143.0,8,1,1,1,1,2023-02-23,219,1,90,219.0
4184-TJFAN,0,0,88.3,351.06,3,1,0,1,0,2023-07-02,90,1,68,90.0
4145-UQXUQ,0,0,92.1,1073.39,8,1,1,1,1,2023-02-11,231,1,81,231.0
1236-WFCDV,0,0,90.45,1424.44,14,1,0,1,1,2022-08-22,404,1,96,404.0
1271-SJBGZ,0,0,43.65,526.95,12,1,1,1,1,2022-10-04,361,1,74,361.0
4441-NIHPT,0,0,74.3,1465.16,13,1,1,1,0,2022-09-17,378,1,90,378.0
8999-BOHSE,0,0,89.7,1091.26,11,1,0,1,1,2022-11-21,313,1,89,313.0
7029-RPUAV,0,0,100.45,2101.51,17,1,1,1,1,2022-05-27,491,1,87,491.0
8111-SLLHI,0,0,105.65,5581.55,39,1,1,1,1,2020-07-20,1167,1,96,1167.0
5293-WXJAK,0,0,104.05,1323.4,11,1,1,1,1,2022-11-07,327,1,82,327.0
4086-YQSNZ,0,0,80.4,233.92,3,1,0,1,0,2023-07-21,71,1,89,71.0
8399-YNDCH,0,0,60.05,1963.17,21,1,1,1,0,2022-01-05,633,1,70,633.0
5565-FILXA,0,0,96.15,2149.2,16,1,0,1,1,2022-06-13,474,1,96,474.0
4187-CINZD,0,0,95.25,4706.18,46,1,0,1,1,2019-12-18,1382,1,90,1382.0
6818-WOBHJ,0,0,89.6,7768.44,68,1,0,1,1,2018-02-24,2044,1,69,2044.0
9134-CEQMF,0,0,89.5,772.11,7,1,0,1,1,2023-03-26,188,1,89,188.0
8519-IMDHU,0,0,85.6,2024.3,15,1,0,1,1,2022-07-04,453,1,83,453.0
3372-KWFBM,0,0,86.6,1587.88,16,1,0,1,0,2022-06-04,483,1,81,483.0
7206-GZCDC,0,0,69.25,98.93,1,1,0,1,0,2023-08-05,56,1,75,56.0
1768-ZAIFU,0,0,25.2,25.2,1,1,0,1,0,2023-08-20,41,1,67,41.0
3793-MMFUH,0,0,95.05,1537.39,13,1,0,1,1,2022-09-27,368,1,90,368.0
6567-HOOPW,0,0,79.2,99.26,1,1,0,1,0,2023-08-03,58,1,76,58.0
8621-MNIHH,0,0,94.25,3315.47,34,1,1,1,1,2020-12-08,1026,1,88,1026.0
5419-CONWX,0,0,99.8,493.57,4,1,1,1,1,2023-06-24,98,1,89,98.0
7024-OHCCK,0,0,93.85,209.39,2,1,0,1,1,2023-08-11,50,1,72,50.0
5357-TZHPP,0,0,84.4,1009.7,9,1,0,1,1,2023-01-14,259,1,83,259.0
0506-LVNGN,0,0,75.55,561.3,5,1,1,1,0,2023-05-08,145,1,90,145.0
9809-IMGCQ,0,0,96.7,3066.91,22,1,0,0,1,2021-12-17,652,1,93,652.0
3254-YRILK,0,0,88.2,2535.23,19,1,0,1,0,2022-03-12,567,1,69,567.0
0529-ONKER,0,0,75.65,1842.35,15,1,0,1,0,2022-07-03,454,1,96,454.0
5240-IJOQT,0,0,74.7,86.04,1,1,0,1,0,2023-08-14,47,1,88,47.0
0661-XEYAN,0,0,25.8,45.8,1,1,0,0,0,2023-08-06,55,1,90,55.0
2660-EMUBI,0,0,95.35,1312.05,10,1,0,1,1,2022-12-09,295,1,75,295.0
7675-OZCZG,0,0,45.0,227.52,3,1,0,0,0,2023-07-18,74,1,77,74.0
9391-EOYLI,0,0,80.45,1033.84,12,1,0,1,1,2022-10-20,345,1,69,345.0
2761-OCIAX,0,0,74.7,178.42,2,1,0,1,0,2023-08-13,48,1,81,48.0
3068-OMWZA,0,0,88.8,148.4,1,1,1,0,0,2023-08-21,40,1,91,40.0
4154-AQUGT,0,0,89.05,1188.46,13,1,0,1,1,2022-09-12,383,1,82,383.0
8017-LXHFA,0,0,94.75,3010.51,23,1,0,1,1,2021-11-13,686,1,95,686.0
4248-QPAVC,0,0,85.35,2089.39,17,1,1,1,0,2022-05-27,491,1,90,491.0
4690-LLKUA,0,0,45.05,1466.41,17,1,0,1,0,2022-05-23,495,1,93,495.0
9490-DFPMD,0,0,84.65,3941.61,42,1,0,1,0,2020-04-08,1270,1,90,1270.0
8580-AECUZ,0,0,79.1,121.4,1,1,0,1,0,2023-08-05,56,1,92,56.0
5047-LHVLY,0,0,50.15,89.93,1,1,1,1,0,2023-08-08,53,1,91,53.0
8375-DKEBR,0,0,69.6,104.11,1,1,0,1,0,2023-08-03,58,1,96,58.0
7279-BUYWN,0,0,113.2,5835.45,41,1,1,1,1,2020-05-11,1237,1,89,1237.0
7156-MHUGY,0,0,90.5,1650.74,13,1,0,0,1,2022-09-14,381,1,76,381.0
9606-PBKBQ,0,0,85.0,2784.16,32,1,0,1,1,2021-02-21,951,1,94,951.0
3536-IQCTX,0,0,85.3,4248.3,32,1,0,1,1,2021-02-02,970,1,75,970.0
3132-TVFDZ,0,0,44.85,2560.88,57,1,0,1,1,2019-01-12,1722,1,82,1722.0
8080-DDEMJ,0,0,45.1,60.38,1,1,0,1,0,2023-08-08,53,1,79,53.0
6702-OHFWR,0,0,43.3,43.3,1,1,1,1,1,2023-08-24,37,1,91,37.0
4510-PYUSH,0,0,57.15,3242.45,38,1,0,1,0,2020-08-13,1143,1,75,1143.0
8840-DQLGN,0,0,100.5,4212.65,35,1,0,1,0,2020-11-19,1045,1,81,1045.0
4193-ORFCL,0,0,45.1,60.34,1,1,0,1,0,2023-08-01,60,1,70,60.0
7776-QWNFX,0,0,50.4,1667.0,30,1,0,1,0,2021-04-07,906,1,83,906.0
6689-TCZHQ,0,0,78.95,439.75,5,1,0,1,1,2023-05-28,125,1,65,125.0
9497-QCMMS,0,0,93.55,123.72,1,1,0,1,1,2023-08-01,60,1,81,60.0
3424-NMNBO,0,0,108.85,9151.29,58,1,1,1,1,2018-12-12,1753,1,91,1753.0
4514-GFCFI,0,0,84.75,1630.31,16,1,0,1,0,2022-06-08,479,1,91,479.0
8000-REIQB,0,0,69.95,102.45,1,1,0,0,0,2023-08-27,34,1,94,34.0
4795-KTRTH,0,0,81.0,577.41,5,1,0,0,0,2023-05-03,150,1,91,150.0
9961-JBNMK,0,0,96.8,2907.77,21,1,1,1,1,2022-01-13,625,1,87,625.0
6179-GJPSO,0,0,108.15,5969.39,43,1,0,1,1,2020-03-01,1308,1,86,1308.0
8290-YWKHZ,0,0,93.2,3992.8,32,1,0,1,1,2021-02-27,945,1,90,945.0
8051-HJRLT,0,0,70.55,88.75,1,1,0,1,0,2023-08-21,40,1,82,40.0
4021-RQSNY,0,0,98.5,3754.22,29,1,1,0,1,2021-05-05,878,1,72,878.0
9061-TIHDA,0,0,95.25,1597.66,13,1,0,1,1,2022-09-05,390,1,90,390.0
8699-ASUFO,0,0,74.4,557.88,7,1,0,1,0,2023-03-22,192,1,96,192.0
4695-WJZUE,0,0,88.55,222.39,2,1,1,1,1,2023-08-06,55,1,80,55.0
3988-RQIXO,0,0,91.3,134.91,1,1,0,1,1,2023-08-05,56,1,71,56.0
5931-FLJJF,0,0,70.1,559.67,7,1,0,1,0,2023-03-23,191,1,83,191.0
3207-OYBWH,0,0,95.25,8259.33,57,1,1,1,1,2019-01-06,1728,1,86,1728.0
7216-EWTRS,0,0,100.8,118.15,1,1,1,1,1,2023-08-23,38,1,65,38.0
2528-HFYZX,0,0,76.45,1251.25,17,1,0,1,0,2022-05-18,500,1,92,500.0
4140-MUHUG,0,0,86.85,276.09,3,1,1,1,0,2023-07-24,68,1,70,68.0
1587-FKLZB,0,0,99.5,8726.91,66,1,1,1,1,2018-04-02,2007,1,96,2007.0
5440-FLBQG,0,0,108.4,10690.92,69,1,1,1,1,2018-01-21,2078,1,73,2078.0
2774-LVQUS,0,0,83.05,2030.25,15,1,1,0,0,2022-07-14,443,1,70,443.0
4612-THJBS,0,0,104.75,7447.13,56,1,1,1,1,2019-02-21,1682,1,93,1682.0
4094-NSEDU,0,0,94.25,2417.9,21,1,0,1,1,2022-01-19,619,1,73,619.0
1846-XWOQN,0,0,70.15,118.12,1,1,0,1,0,2023-08-27,34,1,71,34.0
3757-NJYBX,0,0,106.35,3774.19,32,1,1,1,1,2021-02-05,967,1,65,967.0
9898-KZQDZ,0,0,94.55,5620.45,40,1,0,1,1,2020-06-04,1213,1,95,1213.0
8263-JQAIK,0,0,24.45,47.5,2,1,0,1,0,2023-08-07,54,1,77,54.0
2205-YMZZJ,0,0,84.8,823.52,7,1,0,0,0,2023-03-17,197,1,70,197.0
1254-IZEYF,0,0,99.95,4406.81,31,1,0,1,1,2021-03-21,923,1,96,923.0
9221-OTIVJ,0,0,104.85,1950.84,14,1,1,1,1,2022-08-04,422,1,86,422.0
5908-QMGOE,0,0,74.2,1443.54,15,1,0,1,0,2022-07-15,442,1,80,442.0
0397-GZBBC,0,0,93.85,6202.64,59,1,0,1,1,2018-11-28,1767,1,85,1767.0
7641-EUYET,0,0,100.7,6753.62,46,1,1,1,0,2019-12-27,1373,1,72,1373.0
8922-LIEGH,0,0,89.7,3073.22,25,1,0,1,1,2021-09-08,752,1,82,752.0
8245-UMPYT,0,0,96.4,2047.76,16,1,0,1,1,2022-06-15,472,1,80,472.0
5186-SAMNZ,0,0,69.5,190.7,1,1,0,0,0,2023-08-18,43,1,77,43.0
5373-SFODM,0,0,85.25,4016.19,36,1,0,1,1,2020-10-18,1077,1,82,1077.0
0022-TCJCI,0,0,62.7,3271.65,45,1,1,1,1,2020-01-20,1349,1,92,1349.0
5130-IEKQT,0,0,105.95,3813.75,25,1,1,1,1,2021-09-21,739,1,91,739.0
3269-ATYWD,0,0,95.65,5544.32,39,1,0,0,1,2020-07-10,1177,1,65,1177.0
0354-WYROK,0,0,98.9,4397.75,31,1,1,1,1,2021-03-23,921,1,91,921.0
7576-OYWBN,0,0,76.05,322.55,3,1,0,1,0,2023-07-11,81,1,67,81.0
5539-TMZLF,0,0,69.75,103.59,1,1,0,1,0,2023-08-14,47,1,69,47.0
3336-JORSO,0,0,110.45,4294.37,33,1,1,0,1,2021-01-16,987,1,80,987.0
6861-XWTWQ,0,0,99.25,965.89,7,1,1,1,1,2023-03-15,199,1,90,199.0
4283-FUTGF,0,0,79.85,1790.57,19,1,1,1,0,2022-03-25,554,1,65,554.0
2397-BRLOM,0,0,80.45,799.37,8,1,0,1,0,2023-02-14,228,1,91,228.0
8510-AWCXC,0,0,100.8,1401.96,13,1,0,1,1,2022-09-22,373,1,65,373.0
8225-BTJAU,0,0,79.25,868.65,10,1,0,1,1,2022-12-22,282,1,87,282.0
1724-BQUHA,0,0,89.5,706.3,5,1,0,1,1,2023-05-03,150,1,66,150.0
4826-XTSOH,0,0,86.05,124.83,1,1,0,1,0,2023-08-25,36,1,96,36.0
2408-WITXK,0,0,34.7,329.8,10,1,0,1,1,2022-12-10,294,1,92,294.0
2634-HCZGT,0,0,60.05,4478.16,53,1,0,0,0,2019-05-20,1594,1,77,1594.0
7503-QQRVF,0,0,74.3,1596.17,16,1,0,1,0,2022-06-05,482,1,81,482.0
0709-TVGUR,0,0,74.55,747.69,9,1,0,1,0,2023-01-08,265,1,69,265.0
3001-CBHLQ,0,0,104.9,4710.14,32,1,1,1,1,2021-02-10,962,1,79,962.0
4102-OQUPX,0,0,74.4,121.76,1,1,0,0,0,2023-08-02,59,1,91,59.0
3999-QGRJH,0,0,69.7,679.97,8,1,0,1,0,2023-02-03,239,1,88,239.0
2454-RPBRZ,0,0,98.1,1378.7,12,1,1,1,0,2022-10-25,340,1,90,340.0
2265-CYWIV,0,0,99.6,397.5,4,1,0,1,1,2023-06-24,98,1,77,98.0
4550-VBOFE,0,0,102.95,8307.76,70,1,1,1,1,2017-12-08,2122,1,91,2122.0
7409-KIUTL,0,0,71.0,99.64,1,1,0,1,0,2023-08-06,55,1,72,55.0
1732-VHUBQ,0,0,70.55,4548.91,47,1,0,1,0,2019-11-05,1425,1,82,1425.0
0679-IDSTG,0,0,69.25,106.55,1,1,0,1,0,2023-08-04,57,1,87,57.0
8802-UNOJF,0,0,83.8,1408.73,12,1,1,0,0,2022-10-18,347,1,78,347.0
6313-GIDIT,0,0,54.45,2834.39,53,1,1,1,1,2019-05-28,1586,1,65,1586.0
2845-AFFTX,0,0,99.8,5175.38,41,1,1,1,1,2020-05-13,1235,1,76,1235.0
2815-CPTUL,0,0,70.25,330.77,5,1,0,1,0,2023-05-01,152,1,89,152.0
1891-FZYSA,0,0,89.95,7373.82,69,1,0,0,0,2018-01-03,2096,1,82,2096.0
9685-WKZGT,0,0,74.95,1225.94,14,1,0,1,0,2022-08-18,408,1,70,408.0
6022-UGGSO,0,0,74.4,3295.68,32,1,0,1,0,2021-02-09,963,1,90,963.0
3923-CSIHK,0,0,71.05,3674.85,50,1,0,1,0,2019-08-01,1521,1,94,1521.0
3677-IYRBF,0,0,30.4,78.65,2,1,1,1,0,2023-08-25,36,1,90,36.0
8118-LSUEL,0,0,106.4,2888.76,23,1,1,1,1,2021-11-27,672,1,79,672.0
5277-ZLOOR,0,0,85.55,198.43,2,1,0,1,0,2023-08-04,57,1,86,57.0
4248-HCETZ,0,0,79.65,2552.05,30,1,1,1,0,2021-04-27,886,1,73,886.0
9174-FKWZE,0,0,19.45,42.37,1,0,0,0,0,2023-08-13,48,1,78,48.0
5307-DZCVC,0,0,85.95,4195.0,32,1,0,1,0,2021-02-27,945,1,74,945.0
8679-JOEVF,0,0,59.4,1613.18,16,1,0,1,0,2022-06-21,466,1,87,466.0
4803-AXVYP,0,0,99.55,5535.07,38,1,0,1,1,2020-08-23,1133,1,91,1133.0
5649-ANRML,0,0,95.1,206.17,2,1,1,1,1,2023-08-09,52,1,90,52.0
7395-IGJOS,0,0,81.5,1490.7,17,1,0,1,1,2022-05-13,505,1,79,505.0
7890-VYYWG,0,0,36.45,93.7,3,1,0,1,0,2023-07-19,73,1,89,73.0
9907-SWKKF,0,0,25.05,25.05,1,1,0,1,0,2023-08-03,58,1,65,58.0
6397-JNZZG,0,0,55.55,2342.2,43,1,1,1,1,2020-03-11,1298,1,85,1298.0
7779-LGOVN,0,0,86.65,1321.65,10,1,0,1,1,2022-12-06,298,1,84,298.0
9710-ZUSHQ,0,0,106.75,5605.2,37,1,0,1,1,2020-09-27,1098,1,92,1098.0
3902-FOIGH,0,0,101.35,1800.55,12,1,0,1,1,2022-10-11,354,1,68,354.0
3318-OSATS,0,0,95.45,4782.55,35,1,0,0,1,2020-11-01,1063,1,91,1063.0
2636-ALXXZ,0,0,69.6,115.4,1,1,0,1,0,2023-08-24,37,1,74,37.0
9885-CSMWE,0,0,78.45,96.82,1,1,0,1,0,2023-08-04,57,1,67,57.0
8058-JMEQO,0,0,84.45,878.69,9,1,0,1,1,2023-01-12,261,1,95,261.0
7657-DYEPJ,0,0,70.15,2715.85,38,1,1,1,0,2020-08-26,1130,1,82,1130.0
8276-MQBYC,0,0,97.8,5907.29,51,1,1,1,1,2019-07-21,1532,1,81,1532.0
6015-VVHHE,0,0,83.15,655.2,5,1,0,1,0,2023-05-08,145,1,96,145.0
2516-VQRRV,0,0,75.45,205.32,2,1,0,1,0,2023-08-24,37,1,65,37.0
7580-UGXNC,0,0,54.85,155.68,2,1,0,1,0,2023-08-01,60,1,96,60.0
5178-LMXOP,0,0,95.1,99.99,1,1,0,1,1,2023-08-22,39,1,70,39.0
7056-IMHCC,0,0,101.9,5970.22,53,1,0,1,1,2019-05-13,1601,1,94,1601.0
8749-JMNKX,0,0,93.8,5880.09,51,1,1,1,0,2019-07-17,1536,1,83,1536.0
0917-EZOLA,0,0,104.15,8124.11,72,1,1,1,1,2017-10-25,2166,1,74,2166.0
8414-MYSHR,0,0,91.4,472.7,5,1,0,1,1,2023-05-25,128,1,78,128.0
4988-IQIGL,0,0,75.35,103.84,1,1,0,1,0,2023-08-05,56,1,92,56.0
4706-AXVKM,0,0,84.8,951.95,11,1,0,1,1,2022-11-22,312,1,67,312.0
5889-JTMUL,0,0,95.05,6516.7,50,1,1,0,0,2019-08-12,1510,1,92,1510.0
9026-RNUJS,0,0,50.35,330.7,5,1,1,1,0,2023-05-15,138,1,81,138.0
1624-NALOJ,0,0,89.8,684.4,5,1,0,1,1,2023-05-03,150,1,88,150.0
6210-KBBPI,0,0,99.45,1015.34,9,1,0,1,1,2023-01-22,251,1,93,251.0
2260-USTRB,0,0,70.2,135.05,2,1,0,1,0,2023-08-26,35,1,67,35.0
8623-TMRBY,0,0,84.2,6368.63,51,1,1,1,0,2019-07-11,1542,1,74,1542.0
6900-PXRMS,0,0,105.75,2833.01,26,1,1,0,1,2021-08-08,783,1,91,783.0
3346-BRMIS,0,0,48.35,810.7,18,1,1,1,1,2022-04-10,538,1,92,538.0
2722-JMONI,0,0,49.55,73.79,1,1,0,1,0,2023-08-26,35,1,76,35.0
7579-OOPEC,0,0,50.15,128.82,2,1,0,1,0,2023-08-26,35,1,78,35.0
1771-OADNZ,0,0,95.9,3821.22,29,1,1,0,1,2021-05-26,857,1,95,857.0
0612-RTZZA,0,0,25.25,25.25,1,1,0,1,0,2023-08-15,46,1,87,46.0
4433-JCGCG,0,0,101.0,4926.61,46,1,1,1,1,2019-12-05,1395,1,88,1395.0
9488-HGMJH,0,0,71.15,115.9,1,1,0,0,0,2023-08-05,56,1,85,56.0
4818-QIUFN,0,0,79.15,1757.3,20,1,0,1,0,2022-02-17,590,1,95,590.0
6961-VCPMC,0,0,80.4,5861.72,46,1,0,0,1,2019-12-02,1398,1,75,1398.0
4424-TKOPW,0,0,93.85,247.13,2,1,0,1,1,2023-08-08,53,1,70,53.0
4201-JMNGR,0,0,55.8,82.02,1,1,1,1,0,2023-08-08,53,1,87,53.0
1866-RZZQS,0,0,98.4,5912.21,41,1,1,1,1,2020-05-17,1231,1,91,1231.0
8631-NBHFZ,0,0,79.4,7286.58,66,1,1,0,0,2018-04-09,2000,1,73,2000.0
4958-XCBDQ,0,0,101.4,4885.45,35,1,1,1,1,2020-11-12,1052,1,92,1052.0
8337-UPOAQ,0,0,89.8,1083.1,10,1,1,1,1,2022-12-09,295,1,76,295.0
6712-OAWRH,0,0,91.25,3253.74,26,1,0,1,1,2021-08-17,774,1,76,774.0
5914-DVBWJ,0,0,85.45,1548.33,18,1,0,1,0,2022-04-16,532,1,91,532.0
8644-XLFBW,0,0,71.65,100.11,1,1,0,1,0,2023-08-17,44,1,84,44.0
1833-VGRUM,0,0,74.2,123.15,1,1,0,1,0,2023-08-24,37,1,71,37.0
8374-XGEJJ,0,0,101.0,5882.15,43,1,0,0,1,2020-03-22,1287,1,87,1287.0
6946-LMSQS,0,0,89.05,3018.2,25,1,0,1,1,2021-09-17,743,1,90,743.0
4039-HEUNW,0,0,96.5,4034.06,36,1,0,1,1,2020-10-04,1091,1,82,1091.0
0812-WUPTB,0,0,70.85,120.45,1,1,0,1,0,2023-08-26,35,1,69,35.0
2403-BCASL,0,0,111.95,6381.54,41,1,1,1,1,2020-05-23,1225,1,93,1225.0
3871-IKPYH,0,0,69.1,85.29,1,1,0,1,0,2023-08-14,47,1,83,47.0
1304-NECVQ,0,0,78.55,237.47,2,1,1,1,0,2023-08-07,54,1,92,54.0
5655-JSMZM,0,0,96.2,6303.89,49,1,0,1,1,2019-09-10,1481,1,74,1481.0
4505-EXZHB,0,0,74.4,507.56,6,1,1,0,0,2023-04-18,165,1,91,165.0
8972-HJWNV,0,0,84.55,796.86,7,1,0,1,1,2023-03-25,189,1,80,189.0
2860-RANUS,0,0,85.8,2313.3,20,1,0,1,1,2022-02-15,592,1,75,592.0
0406-BPDVR,0,0,101.5,7181.56,54,1,0,1,1,2019-04-08,1636,1,68,1636.0
5276-KQWHG,0,0,69.6,162.29,2,1,0,1,0,2023-08-13,48,1,74,48.0
9667-EQRXU,0,0,40.3,1272.95,30,1,1,0,0,2021-04-08,905,1,94,905.0
0946-CLJTI,0,0,98.7,5997.04,58,1,1,1,1,2018-12-28,1737,1,91,1737.0
0324-BRPCJ,0,0,100.2,8302.09,68,1,0,1,1,2018-02-24,2044,1,70,2044.0
9189-JWSHV,0,0,93.55,2585.17,24,1,0,1,1,2021-10-09,721,1,91,721.0
0576-WNXXC,0,0,95.55,3576.43,27,1,1,1,1,2021-07-08,814,1,75,814.0
5482-PLVPE,0,0,24.35,41.85,2,1,0,1,0,2023-08-05,56,1,72,56.0
4902-OHLSK,0,0,98.65,3471.17,29,1,0,1,1,2021-05-03,880,1,93,880.0
0495-ZBNGW,0,0,79.9,397.25,5,1,1,0,0,2023-05-24,129,1,90,129.0
2357-COQEK,0,0,103.3,3678.57,28,1,1,1,1,2021-06-02,850,1,78,850.0
2034-CGRHZ,0,0,102.95,2574.22,24,1,1,1,1,2021-10-21,709,1,66,709.0
9360-AHGNL,0,0,109.55,5206.5,43,1,1,1,1,2020-03-07,1302,1,69,1302.0
5485-WUYWF,0,0,66.4,105.69,2,1,1,1,0,2023-08-14,47,1,87,47.0
2632-UCGVD,0,0,100.05,10162.0,66,1,0,1,1,2018-04-22,1987,1,72,1987.0
6425-YQLLO,0,0,105.95,8806.75,66,1,1,1,1,2018-04-19,1990,1,86,1990.0
