,Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Service ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Status ID,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Joined Date
36,4554-YGZIH,0,75,0,1,1,0,0,ILBWOZEYA6786,1,3,49,2,1,22.92,1,1,1,14,0,1,0,0,0,1,0,1,0,0,1,90.05,4547.25,0.0,0,1123.08,5670.33,KZZHRZ2348,2,1,Yes,1,96,5059,1,Competitor made better offer,2015-11-13
37,5099-BAILX,0,77,0,1,1,0,0,JTARJQLPF4989,1,1,43,2,1,14.52,1,1,1,5,0,1,1,1,1,1,0,1,0,1,0,110.75,4687.9,0.0,0,624.36,5312.26,CVUUUK5972,2,1,Yes,1,65,2728,1,Competitor made better offer,2020-08-23
38,4913-EHYUI,0,80,0,1,1,0,0,CGZXKNJTP7197,0,0,56,2,1,48.8,1,1,1,12,1,0,1,0,1,1,0,1,1,1,0,104.55,5794.65,0.0,0,2732.8,8527.45,IYFTSS3523,1,1,Yes,1,91,6268,1,Competitor offered higher download speeds,2020-04-03
39,1626-ERCMM,0,75,0,1,1,0,0,RHEBGFFVR4517,1,7,20,0,1,5.31,1,1,1,10,0,0,0,0,1,1,1,1,0,1,0,94.55,1899.65,0.0,0,106.2,2005.85,YHCEYV9468,1,1,Yes,1,84,5604,1,Competitor had better devices,2021-05-01
40,5644-PDMZC,1,69,0,1,0,0,0,NOEPUJTIG3795,0,0,2,0,1,47.47,1,1,1,19,0,1,0,0,0,1,1,1,0,0,0,89.5,161.5,0.0,0,94.94,256.44,BALQIW2979,2,1,Yes,1,80,2065,2,Attitude of support person,2020-11-01
41,4160-AMJTL,1,74,0,1,0,0,0,NGGLWVAEL7229,0,0,8,0,1,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.65,164.3,0.0,0,223.6,387.9,GOFNCE2167,2,1,Yes,1,83,5432,2,Attitude of support person,2021-03-27
42,0823-HSCDJ,0,76,0,1,0,0,0,SVCSCKAFM9875,0,0,52,0,0,0.0,0,1,2,18,0,1,0,0,1,1,1,0,0,1,0,49.15,2550.9,0.0,30,0.0,2580.9,YHDSJE8591,2,1,Yes,1,90,5597,1,Competitor made better offer,2015-09-28
43,0067-DKWBL,0,69,0,1,0,0,0,PVFXVSVGO9463,0,0,2,0,1,43.99,0,1,2,27,1,0,0,0,0,0,0,1,0,1,0,49.25,91.1,0.0,0,87.98,179.08,PFDTBW9847,2,1,Yes,1,95,3475,1,Competitor made better offer,2013-02-07
44,5244-IRFIH,0,72,0,1,1,0,0,LWGDPAKFW2516,1,1,33,0,1,27.78,1,1,1,8,0,0,0,0,1,1,0,1,0,1,0,94.5,3105.55,0.0,0,916.74,4022.29,RZBCFN3616,3,1,Yes,1,91,4333,5,Poor expertise of online support,2012-01-16
45,2684-EIWEO,1,69,0,1,0,0,0,DALFULBZT8863,0,0,30,0,1,45.88,1,1,1,19,1,1,1,0,0,0,0,1,0,0,1,91.7,2758.15,0.0,0,1376.4,4134.55,RISQKQ8866,1,1,Yes,1,90,2482,1,Competitor made better offer,2014-04-03
46,6683-VLCTZ,0,73,0,1,0,0,0,DACKMGISE2794,0,0,20,0,1,44.44,1,1,1,13,0,0,1,0,1,1,0,0,0,1,0,98.55,1842.8,0.0,120,888.8,2851.6,YOEBSY6292,3,1,Yes,1,92,5444,1,Competitor made better offer,2019-04-29
47,0691-IFBQW,1,65,0,1,0,0,0,YNAKWSEIW1482,0,0,46,0,1,2.37,1,1,1,20,1,1,1,0,1,1,1,1,1,1,0,110.0,4874.8,0.0,0,109.02,4983.82,TEYSZL2724,1,1,Yes,1,81,2403,1,Competitor made better offer,2020-11-17
48,3643-AHCFP,0,74,0,1,1,0,0,TJIJNJILG6631,1,1,7,0,1,21.91,1,1,3,11,0,0,0,0,1,1,0,1,0,1,0,95.6,644.35,0.0,0,153.37,797.72,VEMTOD4929,3,1,Yes,1,83,3265,1,Competitor made better offer,2022-01-15
49,9231-ZJYAM,1,65,0,1,0,0,0,LLOAXAHDO7297,0,0,4,0,1,36.93,0,1,1,18,0,0,0,0,1,0,0,1,0,1,0,78.85,292.8,0.0,0,147.72,440.52,FRTVGQ8355,3,1,Yes,1,72,5301,5,Moved,2016-09-13
50,0727-BMPLR,1,66,0,1,0,0,0,SRGHHHNTP9554,0,0,55,0,1,37.38,1,1,1,7,0,0,1,0,1,1,1,0,1,1,0,100.0,5509.3,0.0,100,2055.9,7665.2,WDOXMV5263,3,1,Yes,1,83,5679,1,Competitor offered higher download speeds,2012-09-23
51,0947-MUGVO,0,71,0,1,1,0,0,EYMYXVDAB2137,1,1,20,0,1,5.37,0,1,1,24,0,1,0,0,0,0,0,1,0,1,0,73.65,1463.5,0.0,0,107.4,1570.9,DNYEON2965,1,1,Yes,1,95,5849,1,Competitor had better devices,2013-11-23
52,0781-LKXBR,0,65,0,1,0,0,0,SKYDFEVGE7257,0,0,9,0,1,48.71,1,1,1,15,0,0,1,0,1,1,1,1,0,1,0,100.5,918.6,0.0,0,438.39,1356.99,NYCEPY5895,1,1,Yes,1,70,4038,1,Competitor had better devices,2016-11-24
53,1907-UBQFC,0,69,0,1,0,0,0,FNGSMBSXV8364,0,0,10,0,1,5.46,0,1,1,24,0,1,0,0,0,0,0,0,0,1,0,72.85,688.65,0.0,30,54.6,773.25,ENIKXQ1144,1,1,Yes,1,91,3189,1,Competitor had better devices,2020-05-21
54,6513-EECDB,0,75,0,1,1,0,0,MGJOLSNWY5463,0,0,1,0,1,36.92,1,1,1,6,0,0,0,0,0,0,0,1,0,1,0,73.55,73.55,0.0,0,36.92,110.47,OWORLL9111,2,1,Yes,1,94,4369,4,Price too high,2013-04-25
55,7074-IEVOJ,1,75,0,1,0,0,0,ULDFYXUKU5875,0,0,3,0,1,41.9,1,1,1,11,0,1,0,0,0,0,0,1,0,1,0,79.4,205.05,0.0,0,125.7,330.75,VXIZTE7781,1,1,Yes,1,91,3501,3,Product dissatisfaction,2014-04-20
56,4750-ZRXIU,1,68,0,1,0,0,0,LITKJJTIK7287,0,0,4,0,1,6.68,1,1,3,17,0,0,0,0,0,1,0,1,0,1,0,84.6,360.1,0.0,0,26.72,386.82,KPGJZI4687,1,1,Yes,1,83,2467,1,Competitor had better devices,2019-06-06
57,7028-DVOIQ,0,71,0,1,0,0,0,GKZLLSJOP7797,0,0,35,0,1,20.83,1,1,1,19,0,0,1,0,1,1,0,0,0,1,0,99.05,3395.8,0.0,120,729.05,4244.85,OQKZSJ6985,1,1,Yes,1,82,2074,5,Don't know,2018-08-25
58,4208-UFFGW,0,80,0,1,0,0,0,NLPAKHZZW4516,0,0,2,5,1,26.62,0,1,2,11,0,0,0,0,0,0,0,1,0,0,1,44.95,85.15,0.0,0,53.24,138.39,HTNXWR4877,2,1,Yes,1,84,5900,5,Don't know,2021-08-26
59,9889-TMAHG,0,66,0,1,0,0,0,DVJQFCKSM9833,0,0,8,0,1,11.57,0,1,1,27,1,0,0,1,1,1,1,1,0,0,1,100.3,832.35,0.0,0,92.56,924.91,KUZXVM7215,1,1,Yes,1,74,5084,1,Competitor had better devices,2022-12-01
60,8919-FYFQZ,0,73,0,1,1,0,0,MSVUAWRLL2128,1,2,44,0,0,0.0,0,1,3,28,0,1,0,0,0,0,0,1,0,1,0,30.35,1359.7,0.0,0,0.0,1359.7,EURKQW6915,1,1,Yes,1,96,4829,1,Competitor had better devices,2021-10-26
61,6646-QVXLR,0,77,0,1,1,0,0,NDGVORVDT1311,1,1,62,0,1,7.11,1,1,1,16,0,1,1,0,1,1,1,1,1,1,0,103.75,6383.35,0.0,0,440.82,6824.17,UMRZPL6948,1,1,Yes,1,91,5052,1,Competitor had better devices,2013-04-19
62,9369-XFEHK,1,76,0,1,1,0,0,EFAQADKXQ9325,1,1,33,0,1,33.19,1,1,3,15,0,1,0,0,0,0,0,1,0,1,0,80.6,2656.5,0.0,0,1095.27,3751.77,JUZQQS8256,2,1,Yes,1,72,3601,1,Competitor offered more data,2017-11-22
63,1374-DMZUI,1,65,0,1,0,0,0,KZCOXOKJA8658,0,0,4,5,1,49.5,1,1,1,23,0,0,0,0,1,1,1,1,0,1,0,94.3,424.45,0.0,0,198.0,622.45,EWESLU9293,2,1,Yes,1,91,5419,1,Competitor made better offer,2019-05-15
64,1989-PRJHP,0,75,0,1,1,0,0,QKTMJAYQY1538,1,1,27,0,1,10.6,1,1,1,23,0,0,0,0,0,0,0,1,0,1,0,75.5,1893.95,0.0,0,286.2,2180.15,GHJKRV8367,1,1,Yes,1,65,2377,1,Competitor had better devices,2018-04-27
65,4822-RVYBB,0,75,0,1,0,0,0,YTHQXKZZM4399,0,0,8,5,1,40.45,1,1,1,29,0,0,1,0,1,1,0,1,0,1,0,100.6,819.4,0.0,0,323.6,1143.0,SCUUPF2469,1,1,Yes,1,90,5906,2,Attitude of support person,2013-07-02
66,4184-TJFAN,1,68,0,1,1,0,0,VBMDKWPQK7963,1,1,3,5,1,25.77,0,1,1,2,1,0,0,1,1,0,0,1,0,1,2,88.3,273.75,0.0,0,77.31,351.06,LBBSYW6157,1,1,Yes,1,68,4486,2,Attitude of support person,2018-01-17
67,4145-UQXUQ,1,71,0,1,0,0,0,FSYKYPKPI8798,0,0,8,5,1,42.93,0,1,1,9,0,0,1,0,1,1,0,1,0,1,0,92.1,729.95,0.0,0,343.44,1073.39,NRWHER1784,1,1,Yes,1,81,5662,1,Competitor had better devices,2015-05-23
68,1236-WFCDV,0,74,0,1,0,0,0,CTXQWQGFS8439,0,0,14,0,1,11.31,0,1,1,24,0,0,0,0,1,1,0,1,0,0,1,90.45,1266.1,0.0,0,158.34,1424.44,LAOGXZ1566,3,1,Yes,1,96,4777,1,Competitor offered more data,2020-03-24
69,1271-SJBGZ,0,77,0,1,0,0,0,MXNZOLJGC1586,0,0,12,0,0,0.0,0,1,2,10,0,0,1,1,0,1,0,1,0,1,0,43.65,526.95,0.0,0,0.0,526.95,GJNFFD2921,1,1,Yes,1,74,2437,1,Competitor had better devices,2015-01-19
70,4441-NIHPT,1,73,0,1,0,0,0,LPXGATEXO2583,0,0,13,0,1,40.37,0,1,1,21,0,0,1,0,0,0,0,1,0,1,0,74.3,940.35,0.0,0,524.81,1465.16,WETAAO2331,1,1,Yes,1,90,2995,1,Competitor had better devices,2018-06-21
71,8999-BOHSE,1,68,0,1,0,0,0,EDPQQDLNL4198,0,0,11,0,1,3.96,0,1,1,27,0,0,0,0,1,1,0,1,0,0,0,89.7,1047.7,0.0,0,43.56,1091.26,GWKCLZ6162,2,1,Yes,1,89,2202,2,Attitude of support person,2012-08-02
72,7029-RPUAV,0,74,0,1,1,0,0,NHCINWAKM1643,1,1,17,0,1,28.18,1,1,3,16,0,0,1,0,1,1,0,1,0,1,1,100.45,1622.45,0.0,0,479.06,2101.51,BNBGMF8623,3,1,Yes,1,87,5508,1,Competitor offered more data,2017-12-23
73,8111-SLLHI,0,65,0,1,1,0,0,AIXIVVWYL6311,1,1,39,0,1,33.25,1,1,1,26,0,1,1,0,1,1,1,1,0,1,0,105.65,4284.8,0.0,0,1296.75,5581.55,RBRBRB7266,3,1,Yes,1,96,4687,2,Attitude of support person,2015-12-25
74,5293-WXJAK,1,73,0,1,1,0,0,SJVNCQVXK9688,1,5,11,0,1,17.25,1,1,1,27,0,0,1,1,1,1,0,1,0,1,0,104.05,1133.65,0.0,0,189.75,1323.4,GBGKMD2787,3,1,Yes,1,82,4553,1,Competitor offered more data,2021-01-21
75,4086-YQSNZ,1,74,0,1,1,0,0,SNQWXGHMI3943,1,1,3,5,1,3.29,0,1,1,9,0,0,0,0,1,0,0,1,0,1,0,80.4,224.05,0.0,0,9.87,233.92,KGTGMQ9297,2,1,Yes,1,89,3834,2,Attitude of service provider,2021-05-20
76,8399-YNDCH,0,80,0,1,0,0,0,PFYFEIFPO1122,0,0,21,0,1,34.62,0,1,2,14,0,0,1,0,1,0,0,1,0,1,0,60.05,1236.15,0.0,0,727.02,1963.17,TDRKKK6213,1,1,Yes,1,70,4716,1,Competitor had better devices,2019-07-18
77,5565-FILXA,1,76,0,1,0,0,0,WEMMSVNHS9188,0,0,16,0,1,38.75,1,1,1,16,0,0,0,0,1,1,0,1,0,1,0,96.15,1529.2,0.0,0,620.0,2149.2,HMXNLD1116,2,1,Yes,1,96,5913,5,Don't know,2016-08-18
78,4187-CINZD,1,73,0,1,0,0,0,ACLAGTMGN3595,0,0,46,0,1,6.13,0,1,1,30,0,1,0,0,1,1,0,1,1,0,1,95.25,4424.2,0.0,0,281.98,4706.18,AETCLY3972,2,1,Yes,1,90,3180,1,Competitor had better devices,2020-08-27
79,6818-WOBHJ,1,70,0,1,1,0,0,JFMJSDLXB5927,1,1,68,1,1,24.13,1,1,1,24,0,1,0,0,0,1,0,1,0,1,0,89.6,6127.6,0.0,0,1640.84,7768.44,TZXZIZ8987,1,1,Yes,1,69,5651,1,Competitor had better devices,2015-05-07
80,9134-CEQMF,0,75,0,1,1,0,0,ZWZYWFSID2214,1,1,7,5,1,13.63,0,1,1,27,0,0,0,0,1,1,0,1,0,1,0,89.5,676.7,0.0,0,95.41,772.11,HKJWZU2786,2,1,Yes,1,89,3077,3,Network reliability,2015-01-01
81,8519-IMDHU,0,74,0,1,1,0,0,DGIECJYQD7826,1,1,15,0,1,45.25,1,1,3,22,0,0,0,0,0,1,0,1,0,1,0,85.6,1345.55,0.0,0,678.75,2024.3,AAIKCR2516,1,1,Yes,1,83,4981,1,Competitor had better devices,2014-09-23
82,3372-KWFBM,0,76,0,1,0,0,0,VEPKIDDEJ6855,0,0,16,0,1,19.18,1,1,1,22,0,0,0,0,1,0,0,1,0,1,0,86.6,1281.0,0.0,0,306.88,1587.88,RYXOGF2839,3,1,Yes,1,81,2508,3,Network reliability,2022-10-21
83,7206-GZCDC,1,75,0,1,0,0,0,VNZSAUPGJ9135,0,0,1,5,1,29.68,0,1,3,18,0,0,0,0,0,0,0,1,0,1,0,69.25,69.25,0.0,0,29.68,98.93,FMIWPQ9414,2,1,Yes,1,75,4371,2,Attitude of support person,2019-10-25
84,1768-ZAIFU,1,74,0,1,0,0,0,RTHOOKZEO3646,0,0,1,0,0,0.0,0,1,3,5,0,0,0,0,0,0,0,1,0,1,0,25.2,25.2,0.0,0,0.0,25.2,SKQSBO3455,1,1,Yes,1,67,5688,1,Competitor made better offer,2015-03-23
85,3793-MMFUH,1,73,0,1,0,0,0,QNHAVWQMR3981,0,0,13,0,1,19.03,1,1,1,24,0,0,0,0,1,1,1,1,0,1,0,95.05,1290.0,0.0,0,247.39,1537.39,SAJGBW1682,1,1,Yes,1,90,2230,1,Competitor made better offer,2022-04-17
86,6567-HOOPW,1,69,0,1,0,0,0,CWZIFDSQW3166,0,0,1,0,1,20.06,0,1,1,24,0,0,0,0,1,0,0,1,0,1,0,79.2,79.2,0.0,0,20.06,99.26,TFPHIH7471,3,1,Yes,1,76,4363,1,Competitor made better offer,2015-07-28
87,8621-MNIHH,1,75,0,1,1,0,0,SYICBEJQX6948,1,1,34,0,1,2.88,1,1,1,4,0,1,1,0,0,1,0,1,0,1,0,94.25,3217.55,0.0,0,97.92,3315.47,VSNVUZ7793,1,1,Yes,1,88,3369,1,Competitor had better devices,2013-09-01
88,5419-CONWX,1,65,0,1,0,0,0,HBUXRADKM6952,0,0,4,0,1,12.68,0,1,1,10,0,1,1,0,1,1,1,1,0,1,1,99.8,442.85,0.0,0,50.72,493.57,OTTSWI1871,1,1,Yes,1,89,2268,1,Competitor had better devices,2012-04-01
89,7024-OHCCK,1,77,0,1,0,0,0,XTIJTYLRW6552,0,0,2,0,1,19.27,1,1,1,18,0,0,0,0,1,1,0,1,0,1,0,93.85,170.85,0.0,0,38.54,209.39,HOYCBY7233,3,1,Yes,1,72,4193,5,Poor expertise of online support,2017-01-01
90,5357-TZHPP,0,67,0,1,0,0,0,VGHGAILCK1134,0,0,9,0,1,30.8,1,1,1,18,0,0,0,0,0,1,0,1,0,1,1,84.4,732.5,0.0,0,277.2,1009.7,VLIETQ8787,2,1,Yes,1,83,5745,2,Attitude of support person,2018-05-15
