Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Service ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Status ID,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
9947-OTFQU,1,Male,65,No,Yes,No,No,0,XOEPPWMTO9182,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0,0,436.65,1510.95,YIPBAY5152,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices
9514-JDSKI,1,Male,77,No,Yes,Yes,No,0,UGUIMLXCU8431,Yes,1,1,Offer E,No,0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0,0,0,40.2,YZFWSV3242,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services
7273-TEFQD,1,Male,67,No,Yes,No,No,0,NBOGLPTZV7277,No,0,3,Offer E,No,0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0,0,0,132.2,MDETXO4922,2,Churned,Yes,1,96,2314,Price,Long distance charges
3606-TWKGI,1,Male,68,No,Yes,No,No,0,YOBKZFGVQ5899,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0,10,424.84,1799.14,BEGOJN9758,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices
4385-GZQXV,1,Female,68,No,Yes,No,No,0,VHJDHJCGG5893,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08,JLJPDE1341,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices
3488-PGMQJ,1,Male,66,No,Yes,No,No,0,HXMLQEOHF5921,No,0,8,None,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0,0,14.24,620.79,OHPSLR4475,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support
7534-BFESC,1,Male,69,No,Yes,No,No,0,WWYEWXVSH6917,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0,0,740.88,2453.58,GQOQWC2393,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer
8098-LLAZX,1,Female,74,No,Yes,No,No,0,OSQCMMHHH1332,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0,0,126.44,522.54,OFKDMH9951,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer
0265-EDXBD,1,Male,76,No,Yes,Yes,No,0,FZQAVWHSH9565,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23,GHCFVK8885,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person
2840-XANRC,1,Male,77,No,Yes,Yes,No,0,PLOCHMGQJ6697,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0,0,386.4,2617.45,DSIMCQ4621,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer
5020-ZSTTY,1,Female,70,No,Yes,No,No,0,XNJUYZUTW5958,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0,0,652.32,5002.42,DHXVBL4276,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer
5804-LEPIM,1,Female,74,No,Yes,No,No,0,ATPTIBSWE9432,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0,0,26.34,165.39,ZIEQWD5744,3,Churned,Yes,1,73,2671,Other,Don't know
0623-IIHUG,1,Female,77,No,Yes,No,No,0,WIKKPUBDD5531,No,0,21,None,No,0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0,0,0,840.1,GQQMMS7744,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer
9057-MSWCO,1,Male,71,No,Yes,Yes,No,0,TKRBOHAOA4185,No,0,27,None,No,0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0,140,0,945.1,GUGTBO6929,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer
4895-TMWIR,1,Male,79,No,Yes,Yes,No,0,OGTGVNIAI7862,Yes,1,11,None,Yes,29.54,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,539.69,OEYWPL2828,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer
0533-BNWKF,1,Female,66,No,Yes,Yes,No,0,CEAETMXKC1258,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0,90,2355.1,7319.8,NMPICW5172,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer
0334-GDDSO,1,Male,77,No,Yes,No,No,0,HXAWDMKNC7727,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36,LCTGJR7639,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer
5564-NEMQO,1,Female,80,No,Yes,No,No,0,RHOKWKGPI1159,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0,20,35.09,130.39,EFSJFW2561,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability
6235-VDHOM,1,Female,77,No,Yes,No,No,0,HWTSHHROX7538,No,0,5,Offer E,No,0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0,0,0,131.05,UNLRRA7673,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services
5609-CEBID,1,Female,77,No,Yes,No,No,0,PAOHKXQGG8796,No,0,20,None,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0,80,974.6,2837,WQCCWE6768,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices
5956-VKDTT,1,Female,72,No,Yes,Yes,No,0,IAGYVDOMQ4746,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0,0,228.8,563.6,QTRLCS8221,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction
0257-ZESQC,1,Female,80,No,Yes,Yes,No,0,BKPCFHKQJ2592,Yes,2,27,None,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0,0,189.54,2118.89,LGNAAI6835,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person
2865-TCHJW,1,Female,74,No,Yes,No,No,0,PYCXBVFEW4691,No,0,4,None,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0,0,193.4,539.6,QVCKEA1534,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices
5192-EBGOV,1,Female,68,No,Yes,No,No,0,URLOXFYPV4252,No,0,1,None,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0,0,45.81,131.51,RINVCK3782,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices
3419-SNJJD,1,Female,78,No,Yes,Yes,No,0,LTNYKEMKS4853,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0,0,1195.35,7981.75,WZSVYG6552,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person
4554-YGZIH,1,Male,75,No,Yes,Yes,No,0,ILBWOZEYA6786,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0,0,1123.08,5670.33,KZZHRZ2348,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer
5099-BAILX,1,Male,77,No,Yes,Yes,No,0,JTARJQLPF4989,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0,0,624.36,5312.26,CVUUUK5972,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer
4913-EHYUI,1,Male,80,No,Yes,Yes,No,0,CGZXKNJTP7197,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0,0,2732.8,8527.45,IYFTSS3523,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds
1626-ERCMM,1,Male,75,No,Yes,Yes,No,0,RHEBGFFVR4517,Yes,7,20,None,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0,0,106.2,2005.85,YHCEYV9468,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices
5644-PDMZC,1,Female,69,No,Yes,No,No,0,NOEPUJTIG3795,No,0,2,None,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0,0,94.94,256.44,BALQIW2979,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person
4160-AMJTL,1,Female,74,No,Yes,No,No,0,NGGLWVAEL7229,No,0,8,None,Yes,27.95,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0,0,223.6,387.9,GOFNCE2167,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person
0823-HSCDJ,1,Male,76,No,Yes,No,No,0,SVCSCKAFM9875,No,0,52,None,No,0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0,30,0,2580.9,YHDSJE8591,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer
0067-DKWBL,1,Male,69,No,Yes,No,No,0,PVFXVSVGO9463,No,0,2,None,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08,PFDTBW9847,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer
5244-IRFIH,1,Male,72,No,Yes,Yes,No,0,LWGDPAKFW2516,Yes,1,33,None,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0,0,916.74,4022.29,RZBCFN3616,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support
2684-EIWEO,1,Female,69,No,Yes,No,No,0,DALFULBZT8863,No,0,30,None,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0,0,1376.4,4134.55,RISQKQ8866,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer
6683-VLCTZ,1,Male,73,No,Yes,No,No,0,DACKMGISE2794,No,0,20,None,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0,120,888.8,2851.6,YOEBSY6292,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer
0691-IFBQW,1,Female,65,No,Yes,No,No,0,YNAKWSEIW1482,No,0,46,None,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110,4874.8,0,0,109.02,4983.82,TEYSZL2724,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer
3643-AHCFP,1,Male,74,No,Yes,Yes,No,0,TJIJNJILG6631,Yes,1,7,None,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0,0,153.37,797.72,VEMTOD4929,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer
9231-ZJYAM,1,Female,65,No,Yes,No,No,0,LLOAXAHDO7297,No,0,4,None,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0,0,147.72,440.52,FRTVGQ8355,3,Churned,Yes,1,72,5301,Other,Moved
0727-BMPLR,1,Female,66,No,Yes,No,No,0,SRGHHHNTP9554,No,0,55,None,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100,5509.3,0,100,2055.9,7665.2,WDOXMV5263,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds
0947-MUGVO,1,Male,71,No,Yes,Yes,No,0,EYMYXVDAB2137,Yes,1,20,None,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0,0,107.4,1570.9,DNYEON2965,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices
0781-LKXBR,1,Male,65,No,Yes,No,No,0,SKYDFEVGE7257,No,0,9,None,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0,0,438.39,1356.99,NYCEPY5895,1,Churned,Yes,1,70,4038,Competitor,Competitor had better devices
1907-UBQFC,1,Male,69,No,Yes,No,No,0,FNGSMBSXV8364,No,0,10,None,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0,30,54.6,773.25,ENIKXQ1144,1,Churned,Yes,1,91,3189,Competitor,Competitor had better devices
6513-EECDB,1,Male,75,No,Yes,Yes,No,0,MGJOLSNWY5463,No,0,1,None,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0,0,36.92,110.47,OWORLL9111,2,Churned,Yes,1,94,4369,Price,Price too high
7074-IEVOJ,1,Female,75,No,Yes,No,No,0,ULDFYXUKU5875,No,0,3,None,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0,0,125.7,330.75,VXIZTE7781,1,Churned,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction
4750-ZRXIU,1,Female,68,No,Yes,No,No,0,LITKJJTIK7287,No,0,4,None,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0,0,26.72,386.82,KPGJZI4687,1,Churned,Yes,1,83,2467,Competitor,Competitor had better devices
7028-DVOIQ,1,Male,71,No,Yes,No,No,0,GKZLLSJOP7797,No,0,35,None,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0,120,729.05,4244.85,OQKZSJ6985,1,Churned,Yes,1,82,2074,Other,Don't know
4208-UFFGW,1,Male,80,No,Yes,No,No,0,NLPAKHZZW4516,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0,0,53.24,138.39,HTNXWR4877,2,Churned,Yes,1,84,5900,Other,Don't know
9889-TMAHG,1,Male,66,No,Yes,No,No,0,DVJQFCKSM9833,No,0,8,None,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0,0,92.56,924.91,KUZXVM7215,1,Churned,Yes,1,74,5084,Competitor,Competitor had better devices
8919-FYFQZ,1,Male,73,No,Yes,Yes,No,0,MSVUAWRLL2128,Yes,2,44,None,No,0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0,0,0,1359.7,EURKQW6915,1,Churned,Yes,1,96,4829,Competitor,Competitor had better devices
6646-QVXLR,1,Male,77,No,Yes,Yes,No,0,NDGVORVDT1311,Yes,1,62,None,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0,0,440.82,6824.17,UMRZPL6948,1,Churned,Yes,1,91,5052,Competitor,Competitor had better devices
9369-XFEHK,1,Female,76,No,Yes,Yes,No,0,EFAQADKXQ9325,Yes,1,33,None,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0,0,1095.27,3751.77,JUZQQS8256,2,Churned,Yes,1,72,3601,Competitor,Competitor offered more data
1374-DMZUI,1,Female,65,No,Yes,No,No,0,KZCOXOKJA8658,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0,0,198,622.45,EWESLU9293,2,Churned,Yes,1,91,5419,Competitor,Competitor made better offer
1989-PRJHP,1,Male,75,No,Yes,Yes,No,0,QKTMJAYQY1538,Yes,1,27,None,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0,0,286.2,2180.15,GHJKRV8367,1,Churned,Yes,1,65,2377,Competitor,Competitor had better devices
4822-RVYBB,1,Male,75,No,Yes,No,No,0,YTHQXKZZM4399,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0,0,323.6,1143,SCUUPF2469,1,Churned,Yes,1,90,5906,Attitude,Attitude of support person
4184-TJFAN,1,Female,68,No,Yes,Yes,No,0,VBMDKWPQK7963,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0,0,77.31,351.06,LBBSYW6157,1,Churned,Yes,1,68,4486,Attitude,Attitude of support person
4145-UQXUQ,1,Female,71,No,Yes,No,No,0,FSYKYPKPI8798,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0,0,343.44,1073.39,NRWHER1784,1,Churned,Yes,1,81,5662,Competitor,Competitor had better devices
1236-WFCDV,1,Male,74,No,Yes,No,No,0,CTXQWQGFS8439,No,0,14,None,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0,0,158.34,1424.44,LAOGXZ1566,3,Churned,Yes,1,96,4777,Competitor,Competitor offered more data
1271-SJBGZ,1,Male,77,No,Yes,No,No,0,MXNZOLJGC1586,No,0,12,None,No,0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0,0,0,526.95,GJNFFD2921,1,Churned,Yes,1,74,2437,Competitor,Competitor had better devices
4441-NIHPT,1,Female,73,No,Yes,No,No,0,LPXGATEXO2583,No,0,13,None,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0,0,524.81,1465.16,WETAAO2331,1,Churned,Yes,1,90,2995,Competitor,Competitor had better devices
8999-BOHSE,1,Female,68,No,Yes,No,No,0,EDPQQDLNL4198,No,0,11,None,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0,0,43.56,1091.26,GWKCLZ6162,2,Churned,Yes,1,89,2202,Attitude,Attitude of support person
7029-RPUAV,1,Male,74,No,Yes,Yes,No,0,NHCINWAKM1643,Yes,1,17,None,Yes,28.18,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0,0,479.06,2101.51,BNBGMF8623,3,Churned,Yes,1,87,5508,Competitor,Competitor offered more data
8111-SLLHI,1,Male,65,No,Yes,Yes,No,0,AIXIVVWYL6311,Yes,1,39,None,Yes,33.25,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0,0,1296.75,5581.55,RBRBRB7266,3,Churned,Yes,1,96,4687,Attitude,Attitude of support person
5293-WXJAK,1,Female,73,No,Yes,Yes,No,0,SJVNCQVXK9688,Yes,5,11,None,Yes,17.25,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,0,0,189.75,1323.4,GBGKMD2787,3,Churned,Yes,1,82,4553,Competitor,Competitor offered more data
