Age,Age Group,Number of Dependents,Membership,Satisfaction Score,Tech services,Streaming services,Combined Product,Contract,Tenure in Months,Monthly Charge,Total Revenue,Churn Value
68,60,0,None,1,0,1,2,Month-to-Month,4,84.6,386.82,1
71,70,0,None,1,1,2,4,Month-to-Month,35,99.05,4244.85,1
80,80,0,Offer E,2,0,0,3,Month-to-Month,2,44.95,138.39,1
66,60,0,None,1,2,2,4,Month-to-Month,8,100.3,924.91,1
73,70,0,None,1,1,0,1,Month-to-Month,44,30.35,1359.7,1
77,70,0,None,1,2,2,4,One Year,62,103.75,6824.17,1
76,70,0,None,2,1,0,2,Month-to-Month,33,80.6,3751.77,1
65,60,0,Offer E,2,0,2,4,Month-to-Month,4,94.3,622.45,1
75,70,0,None,1,0,0,4,Month-to-Month,27,75.5,2180.15,1
75,70,0,Offer E,1,1,2,4,Month-to-Month,8,100.6,1143,1
68,60,0,Offer E,1,2,1,4,Month-to-Month,3,88.3,351.06,1
71,70,0,Offer E,1,1,2,4,Month-to-Month,8,92.1,1073.39,1
74,70,0,None,3,0,2,4,Month-to-Month,14,90.45,1424.44,1
77,70,0,None,1,2,1,2,Month-to-Month,12,43.65,526.95,1
73,70,0,None,1,1,0,4,Month-to-Month,13,74.3,1465.16,1
68,60,0,None,2,0,2,4,Month-to-Month,11,89.7,1091.26,1
74,70,0,None,3,1,2,2,Month-to-Month,17,100.45,2101.51,1
65,60,0,None,3,2,2,4,Month-to-Month,39,105.65,5581.55,1
73,70,0,None,3,2,2,4,Month-to-Month,11,104.05,1323.4,1
74,70,0,Offer E,2,0,1,4,Month-to-Month,3,80.4,233.92,1
80,80,0,None,1,1,1,3,Month-to-Month,21,60.05,1963.17,1
76,70,0,None,2,0,2,4,Month-to-Month,16,96.15,2149.2,1
73,70,0,None,2,1,2,4,One Year,46,95.25,4706.18,1
70,70,0,Offer A,1,1,1,4,Month-to-Month,68,89.6,7768.44,1
75,70,0,Offer E,2,0,2,4,Month-to-Month,7,89.5,772.11,1
74,70,0,None,1,0,1,2,Month-to-Month,15,85.6,2024.3,1
76,70,0,None,3,0,1,4,Month-to-Month,16,86.6,1587.88,1
75,70,0,Offer E,2,0,0,2,Month-to-Month,1,69.25,98.93,1
74,70,0,None,1,0,0,1,Month-to-Month,1,25.2,25.2,1
73,70,0,None,1,0,2,4,Month-to-Month,13,95.05,1537.39,1
69,60,0,None,3,0,1,4,Month-to-Month,1,79.2,99.26,1
75,70,0,None,1,2,1,4,Month-to-Month,34,94.25,3315.47,1
65,60,0,None,1,2,2,4,Month-to-Month,4,99.8,493.57,1
77,70,0,None,3,0,2,4,Month-to-Month,2,93.85,209.39,1
67,60,0,None,2,0,1,4,Month-to-Month,9,84.4,1009.7,1
78,70,0,None,1,1,0,4,Month-to-Month,5,75.55,561.3,1
65,60,0,Offer D,1,0,2,4,Month-to-Month,22,96.7,3066.91,1
74,70,0,Offer D,1,1,1,4,Month-to-Month,19,88.2,2535.23,1
70,70,0,Offer D,3,0,0,4,Month-to-Month,15,75.65,1842.35,1
69,60,0,None,1,0,0,4,Month-to-Month,1,74.7,86.04,1
76,70,0,None,1,0,0,2,Month-to-Month,1,25.8,45.8,1
71,70,0,Offer D,1,0,2,4,Month-to-Month,10,95.35,1312.05,1
76,70,0,None,3,0,0,3,Month-to-Month,3,45,227.52,1
77,70,0,Offer D,2,0,1,4,Month-to-Month,12,80.45,1033.84,1
74,70,0,None,2,1,0,4,Month-to-Month,2,74.7,178.42,1
77,70,0,None,1,1,1,4,Month-to-Month,1,88.8,148.4,1
76,70,0,Offer D,1,2,1,4,Month-to-Month,13,89.05,1188.46,1
77,70,0,Offer D,2,1,2,4,Month-to-Month,23,94.75,3010.51,1
80,80,0,Offer D,1,2,0,4,Month-to-Month,17,85.35,2089.39,1
68,60,0,None,1,0,0,3,Month-to-Month,17,45.05,1466.41,1
79,70,0,None,2,0,1,4,Month-to-Month,42,84.65,3941.61,1
65,60,0,None,3,0,1,4,Month-to-Month,1,79.1,121.4,1
68,60,0,Offer E,2,1,0,2,Month-to-Month,1,50.15,89.93,1
72,70,0,Offer E,1,0,0,4,Month-to-Month,1,69.6,104.11,1
66,60,0,None,1,3,2,4,Month-to-Month,41,113.2,5835.45,1
68,60,0,None,1,0,2,4,Month-to-Month,13,90.5,1650.74,1
69,60,0,None,1,0,1,4,Month-to-Month,32,85,2784.16,1
76,70,0,None,1,0,1,4,Month-to-Month,32,85.3,4248.3,1
70,70,0,None,2,0,2,1,Month-to-Month,57,44.85,2560.88,1
71,70,0,Offer E,2,0,0,2,Month-to-Month,1,45.1,60.38,1
75,70,0,Offer E,3,2,1,2,Month-to-Month,1,43.3,43.3,1
67,60,0,None,1,2,0,3,Month-to-Month,38,57.15,3242.45,1
65,60,0,None,1,3,1,2,Month-to-Month,35,100.5,4212.65,1
80,80,0,Offer E,1,0,0,3,Month-to-Month,1,45.1,60.34,1
71,70,0,None,3,1,0,3,Month-to-Month,30,50.4,1667,1
70,70,0,Offer E,3,0,1,4,Month-to-Month,5,78.95,439.75,1
73,70,0,Offer E,1,0,2,4,Month-to-Month,1,93.55,123.72,1
78,70,0,None,1,3,2,4,One Year,58,108.85,9151.29,1
76,70,0,None,2,0,1,4,Month-to-Month,16,84.75,1630.31,1
73,70,0,Offer E,2,0,0,4,Month-to-Month,1,69.95,102.45,1
68,60,0,Offer E,1,1,0,4,Month-to-Month,5,81,577.41,1
79,70,0,None,1,1,2,4,Month-to-Month,21,96.8,2907.77,1
67,60,0,None,1,3,2,4,Month-to-Month,43,108.15,5969.39,1
69,60,0,None,3,0,2,4,Month-to-Month,32,93.2,3992.8,1
72,70,0,Offer E,3,0,0,4,Month-to-Month,1,70.55,88.75,1
75,70,0,None,3,1,2,4,Month-to-Month,29,98.5,3754.22,1
67,60,0,None,1,0,2,2,Month-to-Month,13,95.25,1597.66,1
72,70,0,None,3,0,0,4,Month-to-Month,7,74.4,557.88,1
68,60,0,None,1,1,1,4,Month-to-Month,2,88.55,222.39,1
68,60,0,None,3,0,2,4,Month-to-Month,1,91.3,134.91,1
75,70,0,None,2,0,0,4,Month-to-Month,7,70.1,559.67,1
74,70,0,None,2,2,1,4,Month-to-Month,57,95.25,8259.33,1
78,70,0,None,1,1,2,4,Month-to-Month,1,100.8,118.15,1
66,60,0,None,1,1,0,4,Month-to-Month,17,76.45,1251.25,1
73,70,0,None,2,1,1,4,Month-to-Month,3,86.85,276.09,1
79,70,0,Offer A,1,1,2,4,Month-to-Month,66,99.5,8726.91,1
69,60,0,Offer A,3,3,2,4,Two Year,69,108.4,10690.92,1
65,60,0,None,3,2,0,4,Month-to-Month,15,83.05,2030.25,1
68,60,0,None,3,2,2,4,One Year,56,104.75,7447.13,1
79,70,0,None,2,0,2,4,Month-to-Month,21,94.25,2417.9,1
80,80,0,None,2,0,0,4,Month-to-Month,1,70.15,118.12,1
77,70,0,None,2,2,2,4,Month-to-Month,32,106.35,3774.19,1
65,60,0,None,1,0,2,4,Month-to-Month,40,94.55,5620.45,1
66,60,0,None,3,0,0,2,Month-to-Month,2,24.45,47.5,1
75,70,0,None,3,0,1,4,Month-to-Month,7,84.8,823.52,1
74,70,0,None,3,1,2,4,Month-to-Month,31,99.95,4406.81,1
80,80,0,None,1,2,2,4,Month-to-Month,14,104.85,1950.84,1
74,70,0,None,1,0,0,4,Month-to-Month,15,74.2,1443.54,1
70,70,0,None,2,0,2,4,Month-to-Month,59,93.85,6202.64,1
76,70,0,None,1,3,1,4,Month-to-Month,46,100.7,6753.62,1
72,70,0,None,3,1,1,4,Month-to-Month,25,89.7,3073.22,1
66,60,0,None,3,0,2,4,Month-to-Month,16,96.4,2047.76,1
75,70,0,None,2,0,0,4,Month-to-Month,1,69.5,190.7,1
65,60,0,None,2,0,1,4,Month-to-Month,36,85.25,4016.19,1
79,70,0,None,1,2,1,3,One Year,45,62.7,3271.65,1
73,70,0,Offer C,2,2,2,4,Month-to-Month,25,105.95,3813.75,1
79,70,0,Offer C,1,0,2,4,Month-to-Month,39,95.65,5544.32,1
70,70,0,Offer C,2,2,2,4,Month-to-Month,31,98.9,4397.75,1
71,70,0,None,1,0,0,4,Month-to-Month,3,76.05,322.55,1
69,60,0,None,1,0,0,4,Month-to-Month,1,69.75,103.59,1
70,70,0,Offer C,1,3,2,4,Month-to-Month,33,110.45,4294.37,1
71,70,0,None,2,1,2,4,Month-to-Month,7,99.25,965.89,1
67,60,0,None,3,1,0,4,Month-to-Month,19,79.85,1790.57,1
67,60,0,None,1,0,1,4,Month-to-Month,8,80.45,799.37,1
69,60,0,Offer D,1,1,2,4,Month-to-Month,13,100.8,1401.96,1
75,70,0,Offer D,1,0,1,4,Month-to-Month,10,79.25,868.65,1
67,60,0,None,2,0,2,4,Month-to-Month,5,89.5,706.3,1
66,60,0,None,1,0,1,4,Month-to-Month,1,86.05,124.83,1
67,60,0,Offer D,1,0,1,2,Month-to-Month,10,34.7,329.8,1
71,70,0,None,1,2,0,2,One Year,53,60.05,4478.16,1
74,70,0,Offer D,1,1,0,4,Month-to-Month,16,74.3,1596.17,1
70,70,0,None,1,0,0,4,Month-to-Month,9,74.55,747.69,1
76,70,0,Offer C,1,2,2,4,Month-to-Month,32,104.9,4710.14,1
67,60,0,None,3,0,0,4,Month-to-Month,1,74.4,121.76,1
80,80,0,None,1,0,0,4,Month-to-Month,8,69.7,679.97,1
67,60,0,Offer D,3,2,1,4,Month-to-Month,12,98.1,1378.7,1
68,60,0,None,1,1,2,4,Month-to-Month,4,99.6,397.5,1
69,60,0,None,1,2,2,4,Month-to-Month,70,102.95,8307.76,1
80,80,0,None,3,0,0,4,Month-to-Month,1,71,99.64,1
73,70,0,None,3,0,0,4,Month-to-Month,47,70.55,4548.91,1
73,70,0,None,1,0,0,4,Month-to-Month,1,69.25,106.55,1
65,60,0,Offer D,1,3,0,2,Month-to-Month,12,83.8,1408.73,1
73,70,0,None,2,2,2,2,Month-to-Month,53,54.45,2834.39,1
78,70,0,None,1,1,2,4,Month-to-Month,41,99.8,5175.38,1
68,60,0,None,2,0,0,4,Month-to-Month,5,70.25,330.77,1
65,60,0,None,1,1,1,4,Month-to-Month,69,89.95,7373.82,1
67,60,0,Offer D,3,0,0,4,Month-to-Month,14,74.95,1225.94,1
70,70,0,Offer C,1,1,0,4,Month-to-Month,32,74.4,3295.68,1
69,60,0,None,3,0,0,2,Month-to-Month,50,71.05,3674.85,1
73,70,0,None,1,1,0,2,Month-to-Month,2,30.4,78.65,1
74,70,0,None,1,2,2,4,Month-to-Month,23,106.4,2888.76,1
78,70,0,Offer E,3,0,1,4,Month-to-Month,2,85.55,198.43,1
77,70,0,Offer C,3,2,0,4,Month-to-Month,30,79.65,2552.05,1
70,70,0,None,1,0,0,1,Month-to-Month,1,19.45,42.37,1
78,70,0,Offer C,3,0,1,4,Month-to-Month,32,85.95,4195,1
75,70,0,None,1,1,1,3,Month-to-Month,16,59.4,1613.18,1
75,70,0,Offer C,1,1,2,4,Month-to-Month,38,99.55,5535.07,1
76,70,0,Offer E,3,3,1,4,Month-to-Month,2,95.1,206.17,1
70,70,0,None,2,0,1,4,Month-to-Month,17,81.5,1490.7,1
67,60,0,Offer E,1,0,1,2,Month-to-Month,3,36.45,93.7,1
69,60,0,Offer E,1,0,0,2,Month-to-Month,1,25.05,25.05,1
70,70,0,Offer B,1,2,2,2,Month-to-Month,43,55.55,2342.2,1
74,70,0,None,1,0,1,2,Month-to-Month,10,86.65,1321.65,1
77,70,0,Offer C,1,2,2,4,Month-to-Month,37,106.75,5605.2,1
66,60,0,None,1,1,2,4,Month-to-Month,12,101.35,1800.55,1
70,70,0,Offer C,2,0,2,4,Month-to-Month,35,95.45,4782.55,1
68,60,0,Offer E,2,0,0,4,Month-to-Month,1,69.6,115.4,1
65,60,0,Offer E,1,0,1,4,Month-to-Month,1,78.45,96.82,1
76,70,0,Offer E,3,0,1,4,Month-to-Month,9,84.45,878.69,1
73,70,0,Offer C,3,3,1,2,One Year,38,70.15,2715.85,1
70,70,0,Offer B,2,1,2,4,Month-to-Month,51,97.8,5907.29,1
68,60,0,None,3,0,1,4,Month-to-Month,5,83.15,655.2,1
77,70,0,None,3,0,0,4,Month-to-Month,2,75.45,205.32,1
73,70,0,None,1,2,0,3,Month-to-Month,2,54.85,155.68,1
71,70,0,None,1,0,2,4,Month-to-Month,1,95.1,99.99,1
69,60,0,Offer B,1,1,2,4,Month-to-Month,53,101.9,5970.22,1
80,80,0,Offer B,1,2,1,4,Month-to-Month,51,93.8,5880.09,1
66,60,0,None,3,2,2,4,Two Year,72,104.15,8124.11,1
79,70,0,None,1,0,2,4,Month-to-Month,5,91.4,472.7,1
80,80,0,None,3,0,0,4,Month-to-Month,1,75.35,103.84,1
78,70,0,None,2,0,1,4,Month-to-Month,11,84.8,951.95,1
67,60,0,Offer B,3,2,1,4,Month-to-Month,50,95.05,6516.7,1
73,70,0,None,1,1,0,3,Month-to-Month,5,50.35,330.7,1
75,70,0,None,1,1,1,4,Month-to-Month,5,89.8,684.4,1
67,60,0,None,1,1,2,4,Month-to-Month,9,99.45,1015.34,1
75,70,0,None,1,0,0,4,Month-to-Month,2,70.2,135.05,1
80,80,0,Offer B,2,2,0,2,Month-to-Month,51,84.2,6368.63,1
72,70,0,Offer C,1,2,2,4,Month-to-Month,26,105.75,2833.01,1
70,70,0,None,2,1,2,2,Month-to-Month,18,48.35,810.7,1
73,70,0,Offer E,1,1,0,2,Month-to-Month,1,49.55,73.79,1
75,70,0,Offer E,1,1,0,3,Month-to-Month,2,50.15,128.82,1
70,70,0,Offer C,3,2,1,4,Month-to-Month,29,95.9,3821.22,1
77,70,0,Offer E,2,0,0,2,Month-to-Month,1,25.25,25.25,1
80,80,0,Offer B,1,1,2,4,Month-to-Month,46,101,4926.61,1
78,70,0,Offer E,3,0,0,4,Month-to-Month,1,71.15,115.9,1
69,60,0,None,1,1,0,4,Month-to-Month,20,79.15,1757.3,1
71,70,0,Offer B,3,0,1,4,Month-to-Month,46,80.4,5861.72,1
70,70,0,None,1,0,2,4,Month-to-Month,2,93.85,247.13,1
66,60,0,Offer E,1,2,0,2,Month-to-Month,1,55.8,82.02,1
77,70,0,Offer B,1,1,2,4,Month-to-Month,41,98.4,5912.21,1
71,70,0,None,1,4,1,3,Two Year,66,79.4,7286.58,1
68,60,0,Offer C,3,1,2,4,Month-to-Month,35,101.4,4885.45,1
71,70,0,None,2,1,1,4,Month-to-Month,10,89.8,1083.1,1
79,70,0,Offer C,3,0,2,4,Month-to-Month,26,91.25,3253.74,1
80,80,0,None,1,2,0,4,Month-to-Month,18,85.45,1548.33,1
65,60,0,Offer E,2,0,0,4,Month-to-Month,1,71.65,100.11,1
70,70,0,Offer E,2,0,0,4,Month-to-Month,1,74.2,123.15,1
68,60,0,Offer B,1,1,2,4,Month-to-Month,43,101,5882.15,1
80,80,0,Offer C,1,1,1,4,One Year,25,89.05,3018.2,1
77,70,0,None,3,1,2,4,Month-to-Month,36,96.5,4034.06,1
65,60,0,Offer E,2,0,0,4,Month-to-Month,1,70.85,120.45,1
66,60,0,Offer B,2,3,2,2,One Year,41,111.95,6381.54,1
70,70,0,None,3,0,0,4,Month-to-Month,1,69.1,85.29,1
69,60,0,Offer E,2,1,0,4,Month-to-Month,2,78.55,237.47,1
66,60,0,Offer B,2,0,2,4,Month-to-Month,49,96.2,6303.89,1
75,70,0,Offer E,1,1,0,4,Month-to-Month,6,74.4,507.56,1
75,70,0,Offer E,1,0,1,4,Month-to-Month,7,84.55,796.86,1
67,60,0,Offer D,1,0,1,4,Month-to-Month,20,85.8,2313.3,1
75,70,0,Offer B,2,1,2,4,One Year,54,101.5,7181.56,1
74,70,0,Offer E,3,0,0,4,Month-to-Month,2,69.6,162.29,1
74,70,0,None,2,1,1,1,Month-to-Month,30,40.3,1272.95,1
67,60,0,Offer B,1,1,2,4,Month-to-Month,58,98.7,5997.04,1
74,70,0,None,1,1,2,2,Month-to-Month,68,100.2,8302.09,1
69,60,0,None,2,0,2,4,Month-to-Month,24,93.55,2585.17,1
70,70,0,None,1,2,1,4,Month-to-Month,27,95.55,3576.43,1
79,70,0,None,1,0,0,2,Month-to-Month,2,24.35,41.85,1
76,70,0,None,1,1,2,4,Month-to-Month,29,98.65,3471.17,1
78,70,0,None,2,1,0,4,Month-to-Month,5,79.9,397.25,1
79,70,0,None,2,2,2,4,Month-to-Month,28,103.3,3678.57,1
73,70,0,None,3,2,2,4,Month-to-Month,24,102.95,2574.22,1
74,70,0,Offer B,2,3,2,4,One Year,43,109.55,5206.5,1
73,70,0,None,1,2,1,2,Month-to-Month,2,66.4,105.69,1
71,70,0,None,2,1,2,4,Month-to-Month,66,100.05,10162,1
68,60,0,None,2,2,2,4,One Year,66,105.95,8806.75,1
70,70,0,None,1,0,0,4,Month-to-Month,31,73.9,2695.48,1
66,60,0,None,2,0,2,4,Month-to-Month,37,96.55,3702.4,1
65,60,0,None,3,1,2,4,Month-to-Month,24,101.25,3135.67,1
78,70,0,None,2,0,0,3,Month-to-Month,2,44.15,179.97,1
74,70,0,None,3,0,0,4,Month-to-Month,8,75.75,716.65,1
78,70,0,None,1,1,0,4,Month-to-Month,1,80.3,97.81,1
79,70,0,None,2,0,1,4,Month-to-Month,9,80.85,1141.71,1
76,70,0,Offer B,2,1,1,4,Month-to-Month,49,90.85,6714.97,1
67,60,0,None,3,0,0,1,Month-to-Month,1,25.1,25.1,1
80,80,0,Offer D,1,2,1,4,Month-to-Month,17,89.15,2013.19,1
77,70,0,None,2,0,1,4,Month-to-Month,3,79.9,269.84,1
73,70,0,None,1,1,2,4,Month-to-Month,30,99.7,4355.65,1
74,70,0,Offer B,1,2,0,4,Month-to-Month,41,83.75,5152.99,1
76,70,0,Offer B,1,1,0,4,Month-to-Month,42,74.15,3351.2,1
78,70,0,None,1,4,2,3,Two Year,72,92.45,8295.69,1
78,70,0,Offer D,3,1,2,4,Month-to-Month,11,99.55,1145.28,1
66,60,0,None,1,1,0,4,Month-to-Month,8,81.25,626.11,1
69,60,0,None,1,0,0,2,Month-to-Month,1,50.55,73.11,1
74,70,0,None,1,0,1,4,Month-to-Month,27,85.25,3128.84,1
68,60,0,None,1,0,1,4,Month-to-Month,1,85.05,101.42,1
68,60,0,None,1,1,0,4,Month-to-Month,54,79.5,6841.83,1
68,60,0,None,1,0,0,4,Month-to-Month,4,74.9,426.67,1
75,70,0,None,1,2,2,4,Month-to-Month,25,102.8,3572.7,1
73,70,0,None,1,0,1,4,Month-to-Month,9,83.85,880.51,1
72,70,0,None,3,1,1,4,Month-to-Month,27,88.3,2925.13,1
68,60,0,None,1,1,2,2,Month-to-Month,56,100.65,7711.41,1
74,70,0,None,3,2,2,2,Two Year,66,80.55,6697.3,1
71,70,0,None,1,1,0,4,Month-to-Month,24,78.85,1821.45,1
75,70,0,None,1,1,1,2,Month-to-Month,24,39.1,971.3,1
66,60,0,None,1,2,2,4,One Year,65,106.25,8194.65,1
76,70,0,None,1,0,2,4,Month-to-Month,1,94,115.85,1
67,60,0,Offer D,2,1,1,4,Month-to-Month,15,89.85,1489.15,1
79,70,0,None,3,2,2,4,Month-to-Month,8,105.5,1190.83,1
78,70,0,None,2,0,0,4,Month-to-Month,7,73.75,771.95,1
79,70,0,Offer E,1,1,0,3,Month-to-Month,9,54.55,516.1,1
78,70,0,Offer C,3,0,0,4,Month-to-Month,37,76.25,3838.7,1
71,70,0,Offer E,3,0,0,4,Month-to-Month,3,70.4,211.48,1
76,70,0,None,1,4,2,4,Month-to-Month,48,117.45,7504.82,1
65,60,0,Offer E,1,1,0,2,Month-to-Month,8,29.4,221.9,1
75,70,0,Offer C,2,0,1,4,Month-to-Month,37,85.7,4895.72,1
75,70,0,Offer C,1,2,2,4,Month-to-Month,28,106.15,3423.26,1
69,60,0,Offer C,1,1,1,4,Month-to-Month,36,90.85,4026.58,1
68,60,3,Offer E,1,0,0,2,Month-to-Month,4,46,350.12,1
66,60,0,Offer E,1,1,2,4,Month-to-Month,8,94.45,784.63,1
65,60,0,None,3,0,2,4,Month-to-Month,50,95.7,5762.7,1
77,70,0,None,1,2,2,4,One Year,61,104.4,8546.71,1
66,60,0,None,3,1,1,1,Month-to-Month,40,39.3,1637.4,1
72,70,0,Offer E,1,0,0,2,Month-to-Month,2,44.7,176.56,1
77,70,0,Offer D,1,0,1,4,Month-to-Month,10,85.55,911.85,1
66,60,0,Offer D,2,0,1,4,Month-to-Month,16,85.35,1534.03,1
80,80,0,Offer E,3,0,1,2,Month-to-Month,2,79.6,258.87,1
68,60,0,Offer D,1,1,1,4,Month-to-Month,19,90.6,2194.28,1
78,70,0,None,1,2,1,4,Month-to-Month,7,94.7,741,1
74,70,0,None,1,0,0,4,Month-to-Month,3,77,382.77,1
74,70,0,None,3,2,2,4,One Year,40,99.2,4852.6,1
65,60,0,None,3,1,1,4,Month-to-Month,47,85.5,5811.56,1
70,70,0,None,3,1,0,4,Month-to-Month,15,75.3,1267.3,1
70,70,0,Offer C,1,2,2,4,Month-to-Month,24,104.25,3628.14,1
75,70,0,None,1,1,0,4,Month-to-Month,15,80.2,1398.45,1
70,70,0,None,2,0,0,4,Month-to-Month,1,69.65,76.88,1
71,70,0,Offer C,1,0,1,4,Month-to-Month,36,84.1,4161,1
79,70,0,Offer C,1,1,0,4,Month-to-Month,34,79.6,3596.86,1
79,70,0,None,3,0,1,1,Month-to-Month,1,36.45,36.45,1
73,70,0,None,1,1,0,4,Month-to-Month,47,80.35,5716.42,1
74,70,0,Offer C,1,1,1,1,Month-to-Month,24,40.65,933.3,1
80,80,0,None,2,2,2,2,One Year,43,107.55,5269.02,1
69,60,0,None,2,1,2,4,Month-to-Month,16,98.75,1830.11,1
71,70,0,None,3,0,0,4,Month-to-Month,5,69.05,468.75,1
73,70,0,Offer C,1,1,2,4,Month-to-Month,37,101.1,5152.27,1
79,70,0,None,3,0,2,2,Month-to-Month,5,45.7,198,1
67,60,0,Offer C,3,1,2,4,Month-to-Month,28,101.3,3272.24,1
72,70,0,None,1,3,1,4,Month-to-Month,10,92.5,1145.3,1
75,70,0,None,3,0,0,4,Month-to-Month,1,74.45,114.06,1
76,70,0,None,2,1,0,1,Month-to-Month,10,29.65,401.4,1
69,60,0,None,3,0,0,4,Month-to-Month,3,70.3,252.12,1
76,70,0,None,3,1,2,4,Month-to-Month,12,99.45,1462.83,1
68,60,0,Offer C,1,1,1,4,Month-to-Month,26,89.15,2513.99,1
77,70,0,None,1,0,0,2,Month-to-Month,1,24.8,24.8,1
67,60,0,None,1,0,1,3,Month-to-Month,20,61.6,1716.55,1
67,60,0,Offer C,2,0,2,4,Month-to-Month,32,96.15,3833.65,1
76,70,0,None,2,0,0,4,Month-to-Month,1,69.55,82.01,1
66,60,0,None,1,1,1,4,Month-to-Month,5,84.85,572.3,1
80,80,0,None,3,0,0,4,Month-to-Month,1,73.65,113.53,1
78,70,0,None,3,0,1,4,Month-to-Month,6,84.35,647.16,1
69,60,0,None,1,0,0,3,Month-to-Month,1,46,53.74,1
78,70,0,None,1,0,1,4,Month-to-Month,15,79.4,1414.55,1
78,70,0,None,1,0,0,4,Month-to-Month,16,71.8,1902.2,1
68,60,0,None,3,1,1,2,One Year,44,88.4,4996.18,1
75,70,0,None,1,1,1,4,Month-to-Month,3,83.9,289.54,1
70,70,0,None,1,0,0,4,Month-to-Month,1,69.85,153.3,1
