Customer ID,Age,Number of Dependents,Membership,Satisfaction Score,Tech services,Streaming services,Combined Product,Contract,Tenure in Months,Monthly Charge,Total Revenue,Churn Value
5192-EBGOV,68,0,None,5,0,1,1,Month-to-Month,1,85.7,131.51,1
3419-SNJJD,78,0,Offer B,4,2,2,1,Month-to-Month,65,105.25,7981.75,1
4554-YGZIH,75,0,Offer B,2,1,1,1,Month-to-Month,49,90.05,5670.33,1
5099-BAILX,77,0,Offer B,1,3,2,1,Month-to-Month,43,110.75,5312.26,1
4913-EHYUI,80,0,Offer B,3,2,2,1,One Year,56,104.55,8527.45,1
1626-ERCMM,75,0,None,2,0,2,1,Month-to-Month,20,94.55,2005.85,1
5644-PDMZC,69,0,None,1,1,1,1,Month-to-Month,2,89.5,256.44,1
4160-AMJTL,74,0,None,3,0,0,4,Month-to-Month,8,19.65,387.9,1
0823-HSCDJ,76,0,None,1,1,2,2,Month-to-Month,52,49.15,2580.9,1
0067-DKWBL,69,0,None,5,1,0,3,Month-to-Month,2,49.25,179.08,1
5244-IRFIH,72,0,None,2,0,2,1,Month-to-Month,33,94.5,4022.29,1
2684-EIWEO,69,0,None,3,3,0,1,Month-to-Month,30,91.7,4134.55,1
6683-VLCTZ,73,0,None,2,1,2,1,Month-to-Month,20,98.55,2851.6,1
0691-IFBQW,65,0,None,3,3,2,1,One Year,46,110,4983.82,1
3643-AHCFP,74,0,None,3,0,2,2,Month-to-Month,7,95.6,797.72,1
9231-ZJYAM,65,0,None,1,0,1,1,Month-to-Month,4,78.85,440.52,1
0727-BMPLR,66,0,None,5,1,2,1,One Year,55,100,7665.2,1
0947-MUGVO,71,0,None,3,1,0,1,Month-to-Month,20,73.65,1570.9,1
0781-LKXBR,65,0,None,5,1,2,1,Month-to-Month,9,100.5,1356.99,1
1907-UBQFC,69,0,None,4,1,0,1,Month-to-Month,10,72.85,773.25,1
6513-EECDB,75,0,None,3,0,0,1,Month-to-Month,1,73.55,110.47,1
7074-IEVOJ,75,0,None,5,1,0,1,Month-to-Month,3,79.4,330.75,1
4750-ZRXIU,68,0,None,1,0,1,2,Month-to-Month,4,84.6,386.82,1
7028-DVOIQ,71,0,None,1,1,2,1,Month-to-Month,35,99.05,4244.85,1
4208-UFFGW,80,0,Offer E,1,0,0,3,Month-to-Month,2,44.95,138.39,1
9889-TMAHG,66,0,None,2,2,2,1,Month-to-Month,8,100.3,924.91,1
8919-FYFQZ,73,0,None,2,1,0,4,Month-to-Month,44,30.35,1359.7,1
6646-QVXLR,77,0,None,2,2,2,1,One Year,62,103.75,6824.17,1
9369-XFEHK,76,0,None,4,1,0,2,Month-to-Month,33,80.6,3751.77,1
1374-DMZUI,65,0,Offer E,2,0,2,1,Month-to-Month,4,94.3,622.45,1
1989-PRJHP,75,0,None,2,0,0,1,Month-to-Month,27,75.5,2180.15,1
4822-RVYBB,75,0,Offer E,3,1,2,1,Month-to-Month,8,100.6,1143,1
4184-TJFAN,68,0,Offer E,1,2,1,1,Month-to-Month,3,88.3,351.06,1
4145-UQXUQ,71,0,Offer E,4,1,2,1,Month-to-Month,8,92.1,1073.39,1
1236-WFCDV,74,0,None,1,0,2,1,Month-to-Month,14,90.45,1424.44,1
1271-SJBGZ,77,0,None,5,2,1,2,Month-to-Month,12,43.65,526.95,1
4441-NIHPT,73,0,None,3,1,0,1,Month-to-Month,13,74.3,1465.16,1
8999-BOHSE,68,0,None,1,0,2,1,Month-to-Month,11,89.7,1091.26,1
7029-RPUAV,74,0,None,1,1,2,2,Month-to-Month,17,100.45,2101.51,1
8111-SLLHI,65,0,None,4,2,2,1,Month-to-Month,39,105.65,5581.55,1
5293-WXJAK,73,0,None,3,2,2,1,Month-to-Month,11,104.05,1323.4,1
4086-YQSNZ,74,0,Offer E,3,0,1,1,Month-to-Month,3,80.4,233.92,1
8399-YNDCH,80,0,None,3,1,1,3,Month-to-Month,21,60.05,1963.17,1
5565-FILXA,76,0,None,1,0,2,1,Month-to-Month,16,96.15,2149.2,1
4187-CINZD,73,0,None,2,1,2,1,One Year,46,95.25,4706.18,1
6818-WOBHJ,70,0,Offer A,1,1,1,1,Month-to-Month,68,89.6,7768.44,1
9134-CEQMF,75,0,Offer E,4,0,2,1,Month-to-Month,7,89.5,772.11,1
8519-IMDHU,74,0,None,3,0,1,2,Month-to-Month,15,85.6,2024.3,1
3372-KWFBM,76,0,None,2,0,1,1,Month-to-Month,16,86.6,1587.88,1
7206-GZCDC,75,0,Offer E,1,0,0,2,Month-to-Month,1,69.25,98.93,1
1768-ZAIFU,74,0,None,2,0,0,4,Month-to-Month,1,25.2,25.2,1
3793-MMFUH,73,0,None,2,0,2,1,Month-to-Month,13,95.05,1537.39,1
6567-HOOPW,69,0,None,3,0,1,1,Month-to-Month,1,79.2,99.26,1
8621-MNIHH,75,0,None,3,2,1,1,Month-to-Month,34,94.25,3315.47,1
5419-CONWX,65,0,None,4,2,2,1,Month-to-Month,4,99.8,493.57,1
7024-OHCCK,77,0,None,3,0,2,1,Month-to-Month,2,93.85,209.39,1
5357-TZHPP,67,0,None,1,0,1,1,Month-to-Month,9,84.4,1009.7,1
0506-LVNGN,78,0,None,3,1,0,1,Month-to-Month,5,75.55,561.3,1
9809-IMGCQ,65,0,Offer D,3,0,2,1,Month-to-Month,22,96.7,3066.91,1
3254-YRILK,74,0,Offer D,3,1,1,1,Month-to-Month,19,88.2,2535.23,1
0529-ONKER,70,0,Offer D,3,0,0,1,Month-to-Month,15,75.65,1842.35,1
5240-IJOQT,69,0,None,3,0,0,1,Month-to-Month,1,74.7,86.04,1
0661-XEYAN,76,0,None,3,0,0,2,Month-to-Month,1,25.8,45.8,1
2660-EMUBI,71,0,Offer D,2,0,2,1,Month-to-Month,10,95.35,1312.05,1
7675-OZCZG,76,0,None,1,0,0,3,Month-to-Month,3,45,227.52,1
9391-EOYLI,77,0,Offer D,1,0,1,1,Month-to-Month,12,80.45,1033.84,1
2761-OCIAX,74,0,None,1,1,0,1,Month-to-Month,2,74.7,178.42,1
3068-OMWZA,77,0,None,3,1,1,1,Month-to-Month,1,88.8,148.4,1
4154-AQUGT,76,0,Offer D,2,2,1,1,Month-to-Month,13,89.05,1188.46,1
8017-LXHFA,77,0,Offer D,3,1,2,1,Month-to-Month,23,94.75,3010.51,1
4248-QPAVC,80,0,Offer D,5,2,0,1,Month-to-Month,17,85.35,2089.39,1
4690-LLKUA,68,0,None,2,0,0,3,Month-to-Month,17,45.05,1466.41,1
9490-DFPMD,79,0,None,2,0,1,1,Month-to-Month,42,84.65,3941.61,1
8580-AECUZ,65,0,None,3,0,1,1,Month-to-Month,1,79.1,121.4,1
5047-LHVLY,68,0,Offer E,2,1,0,2,Month-to-Month,1,50.15,89.93,1
8375-DKEBR,72,0,Offer E,1,0,0,1,Month-to-Month,1,69.6,104.11,1
7279-BUYWN,66,0,None,2,3,2,1,Month-to-Month,41,113.2,5835.45,1
7156-MHUGY,68,0,None,1,0,2,1,Month-to-Month,13,90.5,1650.74,1
9606-PBKBQ,69,0,None,5,0,1,1,Month-to-Month,32,85,2784.16,1
3536-IQCTX,76,0,None,4,0,1,1,Month-to-Month,32,85.3,4248.3,1
3132-TVFDZ,70,0,None,3,0,2,4,Month-to-Month,57,44.85,2560.88,1
8080-DDEMJ,71,0,Offer E,4,0,0,2,Month-to-Month,1,45.1,60.38,1
6702-OHFWR,75,0,Offer E,4,2,1,2,Month-to-Month,1,43.3,43.3,1
4510-PYUSH,67,0,None,1,2,0,3,Month-to-Month,38,57.15,3242.45,1
8840-DQLGN,65,0,None,4,3,1,2,Month-to-Month,35,100.5,4212.65,1
4193-ORFCL,80,0,Offer E,3,0,0,3,Month-to-Month,1,45.1,60.34,1
7776-QWNFX,71,0,None,4,1,0,3,Month-to-Month,30,50.4,1667,1
6689-TCZHQ,70,0,Offer E,4,0,1,1,Month-to-Month,5,78.95,439.75,1
9497-QCMMS,73,0,Offer E,2,0,2,1,Month-to-Month,1,93.55,123.72,1
3424-NMNBO,78,0,None,1,3,2,1,One Year,58,108.85,9151.29,1
4514-GFCFI,76,0,None,2,0,1,1,Month-to-Month,16,84.75,1630.31,1
8000-REIQB,73,0,Offer E,2,0,0,1,Month-to-Month,1,69.95,102.45,1
4795-KTRTH,68,0,Offer E,4,1,0,1,Month-to-Month,5,81,577.41,1
9961-JBNMK,79,0,None,4,1,2,1,Month-to-Month,21,96.8,2907.77,1
6179-GJPSO,67,0,None,1,3,2,1,Month-to-Month,43,108.15,5969.39,1
8290-YWKHZ,69,0,None,3,0,2,1,Month-to-Month,32,93.2,3992.8,1
8051-HJRLT,72,0,Offer E,2,0,0,1,Month-to-Month,1,70.55,88.75,1
4021-RQSNY,75,0,None,1,1,2,1,Month-to-Month,29,98.5,3754.22,1
9061-TIHDA,67,0,None,1,0,2,2,Month-to-Month,13,95.25,1597.66,1
8699-ASUFO,72,0,None,2,0,0,1,Month-to-Month,7,74.4,557.88,1
4695-WJZUE,68,0,None,5,1,1,1,Month-to-Month,2,88.55,222.39,1
3988-RQIXO,68,0,None,2,0,2,1,Month-to-Month,1,91.3,134.91,1
5931-FLJJF,75,0,None,3,0,0,1,Month-to-Month,7,70.1,559.67,1
3207-OYBWH,74,0,None,3,2,1,1,Month-to-Month,57,95.25,8259.33,1
7216-EWTRS,78,0,None,2,1,2,1,Month-to-Month,1,100.8,118.15,1
2528-HFYZX,66,0,None,5,1,0,1,Month-to-Month,17,76.45,1251.25,1
4140-MUHUG,73,0,None,5,1,1,1,Month-to-Month,3,86.85,276.09,1
1587-FKLZB,79,0,Offer A,2,1,2,1,Month-to-Month,66,99.5,8726.91,1
5440-FLBQG,69,0,Offer A,3,3,2,1,Two Year,69,108.4,10690.92,1
2774-LVQUS,65,0,None,2,2,0,1,Month-to-Month,15,83.05,2030.25,1
4612-THJBS,68,0,None,2,2,2,1,One Year,56,104.75,7447.13,1
4094-NSEDU,79,0,None,1,0,2,1,Month-to-Month,21,94.25,2417.9,1
1846-XWOQN,80,0,None,3,0,0,1,Month-to-Month,1,70.15,118.12,1
3757-NJYBX,77,0,None,3,2,2,1,Month-to-Month,32,106.35,3774.19,1
9898-KZQDZ,65,0,None,1,0,2,1,Month-to-Month,40,94.55,5620.45,1
8263-JQAIK,66,0,None,2,0,0,2,Month-to-Month,2,24.45,47.5,1
2205-YMZZJ,75,0,None,5,0,1,1,Month-to-Month,7,84.8,823.52,1
1254-IZEYF,74,0,None,2,1,2,1,Month-to-Month,31,99.95,4406.81,1
9221-OTIVJ,80,0,None,1,2,2,1,Month-to-Month,14,104.85,1950.84,1
5908-QMGOE,74,0,None,3,0,0,1,Month-to-Month,15,74.2,1443.54,1
0397-GZBBC,70,0,None,5,0,2,1,Month-to-Month,59,93.85,6202.64,1
7641-EUYET,76,0,None,2,3,1,1,Month-to-Month,46,100.7,6753.62,1
8922-LIEGH,72,0,None,3,1,1,1,Month-to-Month,25,89.7,3073.22,1
8245-UMPYT,66,0,None,3,0,2,1,Month-to-Month,16,96.4,2047.76,1
5186-SAMNZ,75,0,None,2,0,0,1,Month-to-Month,1,69.5,190.7,1
5373-SFODM,65,0,None,3,0,1,1,Month-to-Month,36,85.25,4016.19,1
0022-TCJCI,79,0,None,2,2,1,3,One Year,45,62.7,3271.65,1
5130-IEKQT,73,0,Offer C,3,2,2,1,Month-to-Month,25,105.95,3813.75,1
3269-ATYWD,79,0,Offer C,3,0,2,1,Month-to-Month,39,95.65,5544.32,1
0354-WYROK,70,0,Offer C,3,2,2,1,Month-to-Month,31,98.9,4397.75,1
7576-OYWBN,71,0,None,1,0,0,1,Month-to-Month,3,76.05,322.55,1
5539-TMZLF,69,0,None,4,0,0,1,Month-to-Month,1,69.75,103.59,1
3336-JORSO,70,0,Offer C,2,3,2,1,Month-to-Month,33,110.45,4294.37,1
6861-XWTWQ,71,0,None,1,1,2,1,Month-to-Month,7,99.25,965.89,1
4283-FUTGF,67,0,None,1,1,0,1,Month-to-Month,19,79.85,1790.57,1
2397-BRLOM,67,0,None,3,0,1,1,Month-to-Month,8,80.45,799.37,1
8510-AWCXC,69,0,Offer D,3,1,2,1,Month-to-Month,13,100.8,1401.96,1
8225-BTJAU,75,0,Offer D,1,0,1,1,Month-to-Month,10,79.25,868.65,1
1724-BQUHA,67,0,None,3,0,2,1,Month-to-Month,5,89.5,706.3,1
4826-XTSOH,66,0,None,2,0,1,1,Month-to-Month,1,86.05,124.83,1
2408-WITXK,67,0,Offer D,3,0,1,2,Month-to-Month,10,34.7,329.8,1
2634-HCZGT,71,0,None,1,2,0,2,One Year,53,60.05,4478.16,1
7503-QQRVF,74,0,Offer D,3,1,0,1,Month-to-Month,16,74.3,1596.17,1
0709-TVGUR,70,0,None,2,0,0,1,Month-to-Month,9,74.55,747.69,1
3001-CBHLQ,76,0,Offer C,5,2,2,1,Month-to-Month,32,104.9,4710.14,1
4102-OQUPX,67,0,None,1,0,0,1,Month-to-Month,1,74.4,121.76,1
3999-QGRJH,80,0,None,2,0,0,1,Month-to-Month,8,69.7,679.97,1
2454-RPBRZ,67,0,Offer D,1,2,1,1,Month-to-Month,12,98.1,1378.7,1
2265-CYWIV,68,0,None,5,1,2,1,Month-to-Month,4,99.6,397.5,1
4550-VBOFE,69,0,None,4,2,2,1,Month-to-Month,70,102.95,8307.76,1
7409-KIUTL,80,0,None,2,0,0,1,Month-to-Month,1,71,99.64,1
1732-VHUBQ,73,0,None,3,0,0,1,Month-to-Month,47,70.55,4548.91,1
0679-IDSTG,73,0,None,4,0,0,1,Month-to-Month,1,69.25,106.55,1
8802-UNOJF,65,0,Offer D,3,3,0,2,Month-to-Month,12,83.8,1408.73,1
6313-GIDIT,73,0,None,3,2,2,2,Month-to-Month,53,54.45,2834.39,1
2845-AFFTX,78,0,None,2,1,2,1,Month-to-Month,41,99.8,5175.38,1
2815-CPTUL,68,0,None,1,0,0,1,Month-to-Month,5,70.25,330.77,1
1891-FZYSA,65,0,None,4,1,1,1,Month-to-Month,69,89.95,7373.82,1
9685-WKZGT,67,0,Offer D,5,0,0,1,Month-to-Month,14,74.95,1225.94,1
6022-UGGSO,70,0,Offer C,3,1,0,1,Month-to-Month,32,74.4,3295.68,1
3923-CSIHK,69,0,None,2,0,0,2,Month-to-Month,50,71.05,3674.85,1
3677-IYRBF,73,0,None,2,1,0,2,Month-to-Month,2,30.4,78.65,1
8118-LSUEL,74,0,None,3,2,2,1,Month-to-Month,23,106.4,2888.76,1
5277-ZLOOR,78,0,Offer E,4,0,1,1,Month-to-Month,2,85.55,198.43,1
4248-HCETZ,77,0,Offer C,4,2,0,1,Month-to-Month,30,79.65,2552.05,1
9174-FKWZE,70,0,None,3,0,0,4,Month-to-Month,1,19.45,42.37,1
5307-DZCVC,78,0,Offer C,3,0,1,1,Month-to-Month,32,85.95,4195,1
8679-JOEVF,75,0,None,1,1,1,3,Month-to-Month,16,59.4,1613.18,1
4803-AXVYP,75,0,Offer C,1,1,2,1,Month-to-Month,38,99.55,5535.07,1
5649-ANRML,76,0,Offer E,4,3,1,1,Month-to-Month,2,95.1,206.17,1
7395-IGJOS,70,0,None,3,0,1,1,Month-to-Month,17,81.5,1490.7,1
7890-VYYWG,67,0,Offer E,1,0,1,2,Month-to-Month,3,36.45,93.7,1
9907-SWKKF,69,0,Offer E,1,0,0,2,Month-to-Month,1,25.05,25.05,1
6397-JNZZG,70,0,Offer B,3,2,2,2,Month-to-Month,43,55.55,2342.2,1
7779-LGOVN,74,0,None,1,0,1,2,Month-to-Month,10,86.65,1321.65,1
9710-ZUSHQ,77,0,Offer C,1,2,2,1,Month-to-Month,37,106.75,5605.2,1
3902-FOIGH,66,0,None,3,1,2,1,Month-to-Month,12,101.35,1800.55,1
3318-OSATS,70,0,Offer C,3,0,2,1,Month-to-Month,35,95.45,4782.55,1
2636-ALXXZ,68,0,Offer E,3,0,0,1,Month-to-Month,1,69.6,115.4,1
9885-CSMWE,65,0,Offer E,1,0,1,1,Month-to-Month,1,78.45,96.82,1
8058-JMEQO,76,0,Offer E,3,0,1,1,Month-to-Month,9,84.45,878.69,1
7657-DYEPJ,73,0,Offer C,2,3,1,2,One Year,38,70.15,2715.85,1
8276-MQBYC,70,0,Offer B,2,1,2,1,Month-to-Month,51,97.8,5907.29,1
6015-VVHHE,68,0,None,3,0,1,1,Month-to-Month,5,83.15,655.2,1
2516-VQRRV,77,0,None,3,0,0,1,Month-to-Month,2,75.45,205.32,1
7580-UGXNC,73,0,None,4,2,0,3,Month-to-Month,2,54.85,155.68,1
5178-LMXOP,71,0,None,3,0,2,1,Month-to-Month,1,95.1,99.99,1
7056-IMHCC,69,0,Offer B,3,1,2,1,Month-to-Month,53,101.9,5970.22,1
8749-JMNKX,80,0,Offer B,1,2,1,1,Month-to-Month,51,93.8,5880.09,1
0917-EZOLA,66,0,None,2,2,2,1,Two Year,72,104.15,8124.11,1
8414-MYSHR,79,0,None,2,0,2,1,Month-to-Month,5,91.4,472.7,1
4988-IQIGL,80,0,None,2,0,0,1,Month-to-Month,1,75.35,103.84,1
4706-AXVKM,78,0,None,5,0,1,1,Month-to-Month,11,84.8,951.95,1
5889-JTMUL,67,0,Offer B,2,2,1,1,Month-to-Month,50,95.05,6516.7,1
9026-RNUJS,73,0,None,4,1,0,3,Month-to-Month,5,50.35,330.7,1
1624-NALOJ,75,0,None,3,1,1,1,Month-to-Month,5,89.8,684.4,1
6210-KBBPI,67,0,None,3,1,2,1,Month-to-Month,9,99.45,1015.34,1
2260-USTRB,75,0,None,3,0,0,1,Month-to-Month,2,70.2,135.05,1
8623-TMRBY,80,0,Offer B,3,2,0,2,Month-to-Month,51,84.2,6368.63,1
6900-PXRMS,72,0,Offer C,3,2,2,1,Month-to-Month,26,105.75,2833.01,1
3346-BRMIS,70,0,None,1,1,2,2,Month-to-Month,18,48.35,810.7,1
2722-JMONI,73,0,Offer E,3,1,0,2,Month-to-Month,1,49.55,73.79,1
7579-OOPEC,75,0,Offer E,2,1,0,3,Month-to-Month,2,50.15,128.82,1
1771-OADNZ,70,0,Offer C,1,2,1,1,Month-to-Month,29,95.9,3821.22,1
0612-RTZZA,77,0,Offer E,3,0,0,2,Month-to-Month,1,25.25,25.25,1
4433-JCGCG,80,0,Offer B,1,1,2,1,Month-to-Month,46,101,4926.61,1
9488-HGMJH,78,0,Offer E,5,0,0,1,Month-to-Month,1,71.15,115.9,1
4818-QIUFN,69,0,None,5,1,0,1,Month-to-Month,20,79.15,1757.3,1
6961-VCPMC,71,0,Offer B,5,0,1,1,Month-to-Month,46,80.4,5861.72,1
4424-TKOPW,70,0,None,2,0,2,1,Month-to-Month,2,93.85,247.13,1
4201-JMNGR,66,0,Offer E,1,2,0,2,Month-to-Month,1,55.8,82.02,1
1866-RZZQS,77,0,Offer B,5,1,2,1,Month-to-Month,41,98.4,5912.21,1
8631-NBHFZ,71,0,None,2,4,1,3,Two Year,66,79.4,7286.58,1
4958-XCBDQ,68,0,Offer C,5,1,2,1,Month-to-Month,35,101.4,4885.45,1
8337-UPOAQ,71,0,None,5,1,1,1,Month-to-Month,10,89.8,1083.1,1
6712-OAWRH,79,0,Offer C,4,0,2,1,Month-to-Month,26,91.25,3253.74,1
5914-DVBWJ,80,0,None,2,2,0,1,Month-to-Month,18,85.45,1548.33,1
8644-XLFBW,65,0,Offer E,2,0,0,1,Month-to-Month,1,71.65,100.11,1
1833-VGRUM,70,0,Offer E,4,0,0,1,Month-to-Month,1,74.2,123.15,1
8374-XGEJJ,68,0,Offer B,2,1,2,1,Month-to-Month,43,101,5882.15,1
6946-LMSQS,80,0,Offer C,1,1,1,1,One Year,25,89.05,3018.2,1
4039-HEUNW,77,0,None,3,1,2,1,Month-to-Month,36,96.5,4034.06,1
0812-WUPTB,65,0,Offer E,5,0,0,1,Month-to-Month,1,70.85,120.45,1
2403-BCASL,66,0,Offer B,3,3,2,2,One Year,41,111.95,6381.54,1
3871-IKPYH,70,0,None,3,0,0,1,Month-to-Month,1,69.1,85.29,1
1304-NECVQ,69,0,Offer E,1,1,0,1,Month-to-Month,2,78.55,237.47,1
5655-JSMZM,66,0,Offer B,3,0,2,1,Month-to-Month,49,96.2,6303.89,1
4505-EXZHB,75,0,Offer E,5,1,0,1,Month-to-Month,6,74.4,507.56,1
8972-HJWNV,75,0,Offer E,1,0,1,1,Month-to-Month,7,84.55,796.86,1
2860-RANUS,67,0,Offer D,3,0,1,1,Month-to-Month,20,85.8,2313.3,1
0406-BPDVR,75,0,Offer B,4,1,2,1,One Year,54,101.5,7181.56,1
5276-KQWHG,74,0,Offer E,3,0,0,1,Month-to-Month,2,69.6,162.29,1
9667-EQRXU,74,0,None,3,1,1,4,Month-to-Month,30,40.3,1272.95,1
0946-CLJTI,67,0,Offer B,3,1,2,1,Month-to-Month,58,98.7,5997.04,1
0324-BRPCJ,74,0,None,2,1,2,2,Month-to-Month,68,100.2,8302.09,1
9189-JWSHV,69,0,None,2,0,2,1,Month-to-Month,24,93.55,2585.17,1
0576-WNXXC,70,0,None,4,2,1,1,Month-to-Month,27,95.55,3576.43,1
5482-PLVPE,79,0,None,4,0,0,2,Month-to-Month,2,24.35,41.85,1
4902-OHLSK,76,0,None,4,1,2,1,Month-to-Month,29,98.65,3471.17,1
0495-ZBNGW,78,0,None,5,1,0,1,Month-to-Month,5,79.9,397.25,1
2357-COQEK,79,0,None,3,2,2,1,Month-to-Month,28,103.3,3678.57,1
2034-CGRHZ,73,0,None,3,2,2,1,Month-to-Month,24,102.95,2574.22,1
9360-AHGNL,74,0,Offer B,3,3,2,1,One Year,43,109.55,5206.5,1
5485-WUYWF,73,0,None,3,2,1,2,Month-to-Month,2,66.4,105.69,1
2632-UCGVD,71,0,None,3,1,2,1,Month-to-Month,66,100.05,10162,1
6425-YQLLO,68,0,None,3,2,2,1,One Year,66,105.95,8806.75,1
2091-RFFBA,70,0,None,4,0,0,1,Month-to-Month,31,73.9,2695.48,1
6899-PPEEA,66,0,None,2,0,2,1,Month-to-Month,37,96.55,3702.4,1
4597-NUCQV,65,0,None,2,1,2,1,Month-to-Month,24,101.25,3135.67,1
3754-DXMRT,78,0,None,1,0,0,3,Month-to-Month,2,44.15,179.97,1
7130-VTEWQ,74,0,None,3,0,0,1,Month-to-Month,8,75.75,716.65,1
7903-CMPEY,78,0,None,1,1,0,1,Month-to-Month,1,80.3,97.81,1
1704-NRWYE,79,0,None,3,0,1,1,Month-to-Month,9,80.85,1141.71,1
7481-ATQQS,76,0,Offer B,3,1,1,1,Month-to-Month,49,90.85,6714.97,1
0023-HGHWL,67,0,None,2,0,0,4,Month-to-Month,1,25.1,25.1,1
1792-UXAFY,80,0,Offer D,3,2,1,1,Month-to-Month,17,89.15,2013.19,1
6161-UUUTA,77,0,None,1,0,1,1,Month-to-Month,3,79.9,269.84,1
6543-XRMYR,73,0,None,1,1,2,1,Month-to-Month,30,99.7,4355.65,1
2479-BRAMR,74,0,Offer B,4,2,0,1,Month-to-Month,41,83.75,5152.99,1
3714-JTVOV,76,0,Offer B,2,1,0,1,Month-to-Month,42,74.15,3351.2,1
8580-QVLOC,78,0,None,1,4,2,3,Two Year,72,92.45,8295.69,1
2012-NWRPA,78,0,Offer D,3,1,2,1,Month-to-Month,11,99.55,1145.28,1
8808-ELEHO,66,0,None,3,1,0,1,Month-to-Month,8,81.25,626.11,1
9058-CBREO,69,0,None,1,0,0,2,Month-to-Month,1,50.55,73.11,1
8063-GBATB,74,0,None,3,0,1,1,Month-to-Month,27,85.25,3128.84,1
1069-XAIEM,68,0,None,1,0,1,1,Month-to-Month,1,85.05,101.42,1
6987-XQSJT,68,0,None,1,1,0,1,Month-to-Month,54,79.5,6841.83,1
0722-TROQR,68,0,None,3,0,0,1,Month-to-Month,4,74.9,426.67,1
6402-ZFPPI,75,0,None,3,2,2,1,Month-to-Month,25,102.8,3572.7,1
9965-YOKZB,73,0,None,3,0,1,1,Month-to-Month,9,83.85,880.51,1
0504-HHAPI,72,0,None,3,1,1,1,Month-to-Month,27,88.3,2925.13,1
3791-LGQCY,68,0,None,5,1,2,2,Month-to-Month,56,100.65,7711.41,1
8166-ZZTFS,74,0,None,3,2,2,2,Two Year,66,80.55,6697.3,1
2956-GGUCQ,71,0,None,2,1,0,1,Month-to-Month,24,78.85,1821.45,1
2778-OCLGR,75,0,None,3,1,1,2,Month-to-Month,24,39.1,971.3,1
7067-KSAZT,66,0,None,2,2,2,1,One Year,65,106.25,8194.65,1
9300-AGZNL,76,0,None,2,0,2,1,Month-to-Month,1,94,115.85,1
